md, inc, azi
0,0,0
20.7336,0,0
41.4672,0,0
62.2008,0,0
82.9344,0,0
103.668,0,0
124.402,0,0
145.135,0,0
165.869,0,0
186.602,0,0
186.602,0,0
214.348,2.48908,144.641
242.094,4.97815,144.641
269.839,7.46723,144.641
297.585,9.95631,144.641
325.33,12.4454,144.641
353.076,14.9345,144.641
380.822,17.4235,144.641
408.567,19.9126,144.641
436.313,22.4017,144.641
464.058,24.8908,144.641
491.804,27.3798,144.641
519.55,29.8689,144.641
547.295,32.358,144.641
575.041,34.8471,144.641
602.786,37.3362,144.641
630.532,39.8252,144.641
658.278,42.3143,144.641
686.023,44.8034,144.641
713.769,47.2925,144.641
713.769,47.2925,144.641
753.754,47.2925,144.641
793.74,47.2925,144.641
833.726,47.2925,144.641
873.711,47.2925,144.641
913.697,47.2925,144.641
953.683,47.2925,144.641
993.668,47.2925,144.641
1033.65,47.2925,144.641
1073.64,47.2925,144.641
1073.64,47.2925,144.641
1135.26,45.706,146.277
1196.89,44.1441,148.003
1258.51,42.6097,149.827
1320.13,41.106,151.76
1381.75,39.6366,153.812
1443.38,38.2056,155.993
1505,36.8175,158.314
1566.62,35.4776,160.788
1628.24,34.1915,163.427
1689.87,32.9657,166.241
1751.49,31.8072,169.242
1813.11,30.7238,172.438
1874.74,29.7237,175.836
1936.36,28.8157,179.438
1997.98,28.0087,183.241
2059.6,27.3119,187.237
2121.23,26.7339,191.408
2182.85,26.2826,195.731
2244.47,25.9645,200.173
2244.47,25.9645,200.173
2262.01,25.9645,200.173
2279.55,25.9645,200.173
2297.08,25.9645,200.173
2314.62,25.9645,200.173
2332.16,25.9645,200.173
2349.7,25.9645,200.173
2367.23,25.9645,200.173
2384.77,25.9645,200.173
2402.31,25.9645,200.173
2402.31,25.9645,200.173
2418.35,26.6783,200.161
2434.4,27.3921,200.149
2450.45,28.1059,200.138
2466.5,28.8197,200.127
2482.55,29.5336,200.117
2498.6,30.2474,200.108
2514.64,30.9612,200.098
2530.69,31.675,200.09
2546.74,32.3888,200.081
2562.79,33.1026,200.073
2578.84,33.8165,200.065
2594.88,34.5303,200.057
2610.93,35.2441,200.05
2626.98,35.9579,200.043
2643.03,36.6717,200.036
2659.08,37.3855,200.03
2675.12,38.0994,200.023
2691.17,38.8132,200.017
2707.22,39.527,200.011
2707.22,39.527,200.011
2756.79,39.527,200.011
2806.37,39.527,200.011
2855.94,39.527,200.011
2905.52,39.527,200.011
2955.09,39.527,200.011
3004.67,39.527,200.011
3054.24,39.527,200.011
3103.82,39.527,200.011
3153.39,39.527,200.011
3153.39,39.527,200.011
3155.12,39.5002,199.76
3156.86,39.474,199.509
3158.59,39.4484,199.258
3160.32,39.4232,199.007
3162.06,39.3986,198.755
3163.79,39.3746,198.503
3165.52,39.3511,198.251
3167.25,39.3281,197.998
3168.99,39.3057,197.745
3168.99,39.3057,197.745
3172.91,39.3057,197.745
3176.82,39.3057,197.745
3180.74,39.3057,197.745
3184.66,39.3057,197.745
3188.57,39.3057,197.745
3192.49,39.3057,197.745
3196.41,39.3057,197.745
3200.33,39.3057,197.745
3204.24,39.3057,197.745
3208.16,39.3057,197.745
3212.08,39.3057,197.745
3215.99,39.3057,197.745
3219.91,39.3057,197.745
3223.83,39.3057,197.745
3227.75,39.3057,197.745
3231.66,39.3057,197.745
3235.58,39.3057,197.745
3239.5,39.3057,197.745
3243.41,39.3057,197.745
3247.33,39.3057,197.745
3251.25,39.3057,197.745
3255.17,39.3057,197.745
3259.08,39.3057,197.745
3263,39.3057,197.745
3266.92,39.3057,197.745
3270.84,39.3057,197.745
3274.75,39.3057,197.745
3278.67,39.3057,197.745
3282.59,39.3057,197.745
3286.5,39.3057,197.745
3290.42,39.3057,197.745
3294.34,39.3057,197.745
3298.26,39.3057,197.745
3302.17,39.3057,197.745
3306.09,39.3057,197.745
3310.01,39.3057,197.745
3313.92,39.3057,197.745
3317.84,39.3057,197.745
3321.76,39.3057,197.745
3325.68,39.3057,197.745
3329.59,39.3057,197.745
3333.51,39.3057,197.745
3337.43,39.3057,197.745
3341.35,39.3057,197.745
3345.26,39.3057,197.745
3349.18,39.3057,197.745
3353.1,39.3057,197.745
3357.01,39.3057,197.745
3360.93,39.3057,197.745
3364.85,39.3057,197.745
3368.77,39.3057,197.745
3372.68,39.3057,197.745
3376.6,39.3057,197.745
3380.52,39.3057,197.745
3384.43,39.3057,197.745
3388.35,39.3057,197.745
3392.27,39.3057,197.745
3396.19,39.3057,197.745
3400.1,39.3057,197.745
3404.02,39.3057,197.745
3407.94,39.3057,197.745
3411.85,39.3057,197.745
3415.77,39.3057,197.745
3419.69,39.3057,197.745
3423.61,39.3057,197.745
3427.52,39.3057,197.745
3431.44,39.3057,197.745
3435.36,39.3057,197.745
3439.28,39.3057,197.745
3443.19,39.3057,197.745
3447.11,39.3057,197.745
3451.03,39.3057,197.745
3454.94,39.3057,197.745
3458.86,39.3057,197.745
3462.78,39.3057,197.745
3466.7,39.3057,197.745
3470.61,39.3057,197.745
3474.53,39.3057,197.745
3478.45,39.3057,197.745
3482.36,39.3057,197.745
3486.28,39.3057,197.745
3490.2,39.3057,197.745
3494.12,39.3057,197.745
3498.03,39.3057,197.745
3501.95,39.3057,197.745
3505.87,39.3057,197.745
3509.79,39.3057,197.745
3513.7,39.3057,197.745
3517.62,39.3057,197.745
3521.54,39.3057,197.745
3525.45,39.3057,197.745
3529.37,39.3057,197.745
3533.29,39.3057,197.745
3537.21,39.3057,197.745
3541.12,39.3057,197.745
