md, inc, azi
0,0,0
39.2895,0,0
78.579,0,0
117.868,0,0
157.158,0,0
196.447,0,0
235.737,0,0
275.026,0,0
314.316,0,0
353.605,0,0
353.605,0,0
381.924,1.60032,169.994
410.243,3.20064,169.994
438.562,4.80096,169.994
466.881,6.40128,169.994
495.2,8.00161,169.994
523.519,9.60193,169.994
551.837,11.2022,169.994
580.156,12.8026,169.994
608.475,14.4029,169.994
636.794,16.0032,169.994
665.113,17.6035,169.994
693.432,19.2039,169.994
721.75,20.8042,169.994
750.069,22.4045,169.994
778.388,24.0048,169.994
806.707,25.6051,169.994
835.026,27.2055,169.994
863.345,28.8058,169.994
891.664,30.4061,169.994
891.664,30.4061,169.994
895.946,30.4061,169.994
900.228,30.4061,169.994
904.51,30.4061,169.994
908.792,30.4061,169.994
913.074,30.4061,169.994
917.356,30.4061,169.994
921.639,30.4061,169.994
925.921,30.4061,169.994
930.203,30.4061,169.994
930.203,30.4061,169.994
990.552,30.3524,173.263
1050.9,30.3802,176.534
1111.25,30.4892,179.792
1171.6,30.6785,183.021
1231.95,30.9467,186.207
1292.3,31.2918,189.337
1352.65,31.7111,192.399
1413,32.2018,195.383
1473.35,32.7606,198.282
1533.7,33.3841,201.089
1594.05,34.0687,203.8
1654.4,34.8107,206.414
1714.75,35.6065,208.929
1775.1,36.4525,211.345
1835.45,37.3452,213.664
1895.8,38.2814,215.887
1956.15,39.2578,218.019
2016.5,40.2715,220.062
2076.85,41.3196,222.02
2076.85,41.3196,222.02
2099.19,41.3196,222.02
2121.54,41.3196,222.02
2143.88,41.3196,222.02
2166.23,41.3196,222.02
2188.58,41.3196,222.02
2210.92,41.3196,222.02
2233.27,41.3196,222.02
2255.61,41.3196,222.02
2277.96,41.3196,222.02
2277.96,41.3196,222.02
2284.16,41.2114,222.054
2290.36,41.1031,222.087
2296.56,40.9948,222.121
2302.76,40.8866,222.155
2308.97,40.7783,222.189
2315.17,40.6701,222.223
2321.37,40.5618,222.258
2327.57,40.4536,222.292
2333.77,40.3454,222.327
2339.97,40.2372,222.362
2346.17,40.129,222.397
2352.37,40.0209,222.432
2358.57,39.9127,222.467
2364.78,39.8045,222.503
2370.98,39.6964,222.538
2377.18,39.5883,222.574
2383.38,39.4801,222.61
2389.58,39.372,222.646
2395.78,39.2639,222.682
2395.78,39.2639,222.682
2468.99,39.2639,222.682
2542.2,39.2639,222.682
2615.41,39.2639,222.682
2688.62,39.2639,222.682
2761.83,39.2639,222.682
2835.04,39.2639,222.682
2908.25,39.2639,222.682
2981.46,39.2639,222.682
3054.67,39.2639,222.682
3054.67,39.2639,222.682
3061.5,40.0521,222.744
3068.33,40.8403,222.803
3075.16,41.6286,222.86
3081.99,42.4168,222.916
3088.82,43.2051,222.97
3095.65,43.9935,223.023
3102.48,44.7818,223.074
3109.31,45.5702,223.123
3116.13,46.3586,223.172
3122.96,47.147,223.219
3129.79,47.9354,223.264
3136.62,48.7239,223.309
3143.45,49.5123,223.353
3150.28,50.3008,223.395
3157.11,51.0893,223.437
3163.94,51.8778,223.478
3170.77,52.6663,223.518
3177.6,53.4549,223.557
3184.43,54.2434,223.595
3191.26,55.032,223.633
3198.09,55.8205,223.67
3204.92,56.6091,223.706
3211.75,57.3977,223.741
3218.58,58.1863,223.776
3225.41,58.9749,223.81
3232.24,59.7636,223.844
3239.07,60.5522,223.877
3245.9,61.3408,223.91
3252.73,62.1295,223.942
3259.56,62.9181,223.974
3266.39,63.7068,224.005
3273.22,64.4955,224.036
3280.05,65.2841,224.066
3286.88,66.0728,224.096
3293.71,66.8615,224.126
3300.54,67.6502,224.155
3300.54,67.6502,224.155
3307.12,67.6502,224.155
3313.7,67.6502,224.155
3320.27,67.6502,224.155
3326.85,67.6502,224.155
3333.43,67.6502,224.155
3340.01,67.6502,224.155
3346.59,67.6502,224.155
3353.16,67.6502,224.155
3359.74,67.6502,224.155
3366.32,67.6502,224.155
3372.9,67.6502,224.155
3379.48,67.6502,224.155
3386.06,67.6502,224.155
3392.63,67.6502,224.155
3399.21,67.6502,224.155
3405.79,67.6502,224.155
3412.37,67.6502,224.155
3418.95,67.6502,224.155
3425.53,67.6502,224.155
3432.1,67.6502,224.155
3438.68,67.6502,224.155
3445.26,67.6502,224.155
3451.84,67.6502,224.155
3458.42,67.6502,224.155
3464.99,67.6502,224.155
3471.57,67.6502,224.155
3478.15,67.6502,224.155
3484.73,67.6502,224.155
3491.31,67.6502,224.155
3497.89,67.6502,224.155
3504.46,67.6502,224.155
3511.04,67.6502,224.155
3517.62,67.6502,224.155
3524.2,67.6502,224.155
3530.78,67.6502,224.155
3537.36,67.6502,224.155
3543.93,67.6502,224.155
3550.51,67.6502,224.155
3557.09,67.6502,224.155
3563.67,67.6502,224.155
3570.25,67.6502,224.155
3576.82,67.6502,224.155
3583.4,67.6502,224.155
3589.98,67.6502,224.155
3596.56,67.6502,224.155
3603.14,67.6502,224.155
3609.72,67.6502,224.155
3616.29,67.6502,224.155
3622.87,67.6502,224.155
3629.45,67.6502,224.155
3636.03,67.6502,224.155
3642.61,67.6502,224.155
3649.19,67.6502,224.155
3655.76,67.6502,224.155
3662.34,67.6502,224.155
3668.92,67.6502,224.155
3675.5,67.6502,224.155
3682.08,67.6502,224.155
3688.65,67.6502,224.155
3695.23,67.6502,224.155
3701.81,67.6502,224.155
3708.39,67.6502,224.155
