md, inc, azi
0,0,0
35.5511,0,0
71.1021,0,0
106.653,0,0
142.204,0,0
177.755,0,0
213.306,0,0
248.857,0,0
284.408,0,0
319.96,0,0
319.96,0,0
335.295,1.65873,169.964
350.631,3.31746,169.964
365.966,4.9762,169.964
381.302,6.63493,169.964
396.637,8.29366,169.964
411.973,9.95239,169.964
427.308,11.6111,169.964
442.644,13.2699,169.964
457.979,14.9286,169.964
473.315,16.5873,169.964
488.65,18.2461,169.964
503.986,19.9048,169.964
519.321,21.5635,169.964
534.657,23.2223,169.964
549.992,24.881,169.964
565.328,26.5397,169.964
580.663,28.1984,169.964
595.999,29.8572,169.964
611.334,31.5159,169.964
611.334,31.5159,169.964
650.844,31.5159,169.964
690.354,31.5159,169.964
729.864,31.5159,169.964
769.374,31.5159,169.964
808.884,31.5159,169.964
848.394,31.5159,169.964
887.904,31.5159,169.964
927.414,31.5159,169.964
966.924,31.5159,169.964
966.924,31.5159,169.964
994.635,31.9679,172.374
1022.35,32.4643,174.721
1050.06,33.0031,177.002
1077.77,33.5821,179.216
1105.48,34.1994,181.362
1133.19,34.8528,183.438
1160.9,35.5403,185.446
1188.61,36.26,187.386
1216.32,37.01,189.259
1244.03,37.7884,191.068
1271.74,38.5934,192.812
1299.45,39.4235,194.496
1327.16,40.277,196.121
1354.88,41.1524,197.688
1382.59,42.0483,199.201
1410.3,42.9634,200.662
1438.01,43.8965,202.074
1465.72,44.8464,203.438
1493.43,45.8119,204.757
1493.43,45.8119,204.757
1602.65,45.8119,204.757
1711.88,45.8119,204.757
1821.1,45.8119,204.757
1930.32,45.8119,204.757
2039.55,45.8119,204.757
2148.77,45.8119,204.757
2258,45.8119,204.757
2367.22,45.8119,204.757
2476.44,45.8119,204.757
2476.44,45.8119,204.757
2495.12,45.4541,204.85
2513.8,45.0963,204.945
2532.48,44.7386,205.041
2551.16,44.381,205.138
2569.84,44.0235,205.237
2588.52,43.666,205.337
2607.2,43.3087,205.438
2625.88,42.9514,205.54
2644.56,42.5942,205.644
2663.24,42.2371,205.749
2681.92,41.8802,205.856
2700.6,41.5233,205.964
2719.28,41.1665,206.074
2737.96,40.8098,206.185
2756.64,40.4533,206.298
2775.32,40.0968,206.413
2794,39.7405,206.529
2812.68,39.3843,206.647
2831.36,39.0282,206.767
2831.36,39.0282,206.767
2879.72,39.0282,206.767
2928.08,39.0282,206.767
2976.45,39.0282,206.767
3024.81,39.0282,206.767
3073.18,39.0282,206.767
3121.54,39.0282,206.767
3169.9,39.0282,206.767
3218.27,39.0282,206.767
3266.63,39.0282,206.767
3266.63,39.0282,206.767
3266.68,39.0333,206.766
3266.74,39.0384,206.764
3266.79,39.0435,206.763
3266.84,39.0486,206.762
3266.9,39.0537,206.761
3266.95,39.0588,206.76
3267,39.0639,206.759
3267.06,39.069,206.757
3267.11,39.0741,206.756
3267.11,39.0741,206.756
3271.01,39.0741,206.756
3274.91,39.0741,206.756
3278.81,39.0741,206.756
3282.7,39.0741,206.756
3286.6,39.0741,206.756
3290.5,39.0741,206.756
3294.4,39.0741,206.756
3298.3,39.0741,206.756
3302.2,39.0741,206.756
3306.09,39.0741,206.756
3309.99,39.0741,206.756
3313.89,39.0741,206.756
3317.79,39.0741,206.756
3321.69,39.0741,206.756
3325.59,39.0741,206.756
3329.49,39.0741,206.756
3333.38,39.0741,206.756
3337.28,39.0741,206.756
3341.18,39.0741,206.756
3345.08,39.0741,206.756
3348.98,39.0741,206.756
3352.88,39.0741,206.756
3356.78,39.0741,206.756
3360.67,39.0741,206.756
3364.57,39.0741,206.756
3368.47,39.0741,206.756
3372.37,39.0741,206.756
3376.27,39.0741,206.756
3380.17,39.0741,206.756
3384.07,39.0741,206.756
3387.96,39.0741,206.756
3391.86,39.0741,206.756
3395.76,39.0741,206.756
3399.66,39.0741,206.756
3403.56,39.0741,206.756
3407.46,39.0741,206.756
3411.35,39.0741,206.756
3415.25,39.0741,206.756
3419.15,39.0741,206.756
3423.05,39.0741,206.756
3426.95,39.0741,206.756
3430.85,39.0741,206.756
3434.75,39.0741,206.756
3438.64,39.0741,206.756
3442.54,39.0741,206.756
3446.44,39.0741,206.756
3450.34,39.0741,206.756
3454.24,39.0741,206.756
3458.14,39.0741,206.756
3462.04,39.0741,206.756
3465.93,39.0741,206.756
3469.83,39.0741,206.756
3473.73,39.0741,206.756
3477.63,39.0741,206.756
3481.53,39.0741,206.756
3485.43,39.0741,206.756
3489.33,39.0741,206.756
3493.22,39.0741,206.756
3497.12,39.0741,206.756
3501.02,39.0741,206.756
3504.92,39.0741,206.756
3508.82,39.0741,206.756
3512.72,39.0741,206.756
3516.62,39.0741,206.756
3520.51,39.0741,206.756
3524.41,39.0741,206.756
3528.31,39.0741,206.756
3532.21,39.0741,206.756
