md, inc, azi
0,0,0
52.1119,0,0
104.224,0,0
156.336,0,0
208.448,0,0
260.559,0,0
312.671,0,0
364.783,0,0
416.895,0,0
469.007,0,0
469.007,0,0
485.5,2.31991,290.301
501.994,4.63982,290.301
518.488,6.95972,290.301
534.981,9.27963,290.301
551.475,11.5995,290.301
567.968,13.9194,290.301
584.462,16.2394,290.301
600.955,18.5593,290.301
617.449,20.8792,290.301
633.943,23.1991,290.301
650.436,25.519,290.301
666.93,27.8389,290.301
683.423,30.1588,290.301
699.917,32.4787,290.301
716.41,34.7986,290.301
732.904,37.1185,290.301
749.398,39.4384,290.301
765.891,41.7583,290.301
782.385,44.0782,290.301
798.878,46.3982,290.301
815.372,48.7181,290.301
831.865,51.038,290.301
848.359,53.3579,290.301
864.853,55.6778,290.301
864.853,55.6778,290.301
883.489,55.6778,290.301
902.125,55.6778,290.301
920.761,55.6778,290.301
939.398,55.6778,290.301
958.034,55.6778,290.301
976.67,55.6778,290.301
995.306,55.6778,290.301
1013.94,55.6778,290.301
1032.58,55.6778,290.301
1032.58,55.6778,290.301
1052.33,53.357,290.303
1072.09,51.0363,290.305
1091.84,48.7156,290.306
1111.6,46.3948,290.308
1131.36,44.0741,290.31
1151.11,41.7534,290.312
1170.87,39.4326,290.315
1190.62,37.1119,290.317
1210.38,34.7912,290.32
1230.13,32.4704,290.324
1249.89,30.1497,290.327
1269.64,27.829,290.332
1289.4,25.5082,290.337
1309.15,23.1875,290.343
1328.91,20.8668,290.35
1348.66,18.546,290.359
1368.42,16.2253,290.37
1388.17,13.9046,290.385
1407.93,11.5838,290.406
1427.68,9.26309,290.438
1447.44,6.94237,290.49
1467.19,4.62166,290.593
1486.95,2.30099,290.906
1506.71,0,0
1506.71,0.0319278,58.8009
1584.15,0.0319278,58.8009
1661.6,0.0319278,58.8009
1739.05,0.0319278,58.8009
1816.49,0.0319278,58.8009
1893.94,0.0319278,58.8009
1971.39,0.0319278,58.8009
2048.84,0.0319278,58.8009
2126.28,0.0319278,58.8009
2203.73,0.0319278,58.8009
2203.73,0,0
2211.57,0.413404,228.031
2219.41,0.858193,228.43
2227.25,1.303,228.556
2235.09,1.7478,228.618
2242.93,2.19261,228.655
2250.77,2.63742,228.68
2258.61,3.08222,228.697
2266.45,3.52703,228.71
2274.29,3.97184,228.72
2282.13,4.41665,228.728
2289.97,4.86146,228.735
2297.81,5.30627,228.74
2305.65,5.75108,228.745
2313.49,6.19588,228.749
2321.33,6.64069,228.752
2329.17,7.0855,228.755
2337.01,7.53031,228.758
2344.85,7.97512,228.76
2352.69,8.41993,228.762
2360.53,8.86474,228.764
2368.37,9.30955,228.766
2376.2,9.75436,228.768
2384.04,10.1992,228.769
2391.88,10.644,228.77
2391.88,10.644,228.77
2438.57,10.644,228.77
2485.25,10.644,228.77
2531.93,10.644,228.77
2578.62,10.644,228.77
2625.3,10.644,228.77
2671.99,10.644,228.77
2718.67,10.644,228.77
2765.35,10.644,228.77
2812.04,10.644,228.77
2812.04,10.644,228.77
2815.34,10.7272,231.057
2818.65,10.8268,233.305
2821.95,10.9424,235.509
2825.26,11.0735,237.665
2828.57,11.2195,239.768
2831.87,11.3799,241.815
2835.18,11.554,243.804
2838.49,11.7412,245.733
2841.79,11.941,247.599
2845.1,12.1526,249.404
2848.4,12.3756,251.146
2851.71,12.6093,252.825
2855.02,12.853,254.444
2858.32,13.1063,256.002
2861.63,13.3687,257.501
2864.94,13.6395,258.942
2868.24,13.9183,260.328
2871.55,14.2046,261.659
2874.85,14.498,262.938
2878.16,14.798,264.167
2878.16,14.798,264.167
2881.28,14.798,264.167
2884.4,14.798,264.167
2887.53,14.798,264.167
2890.65,14.798,264.167
2893.77,14.798,264.167
2896.89,14.798,264.167
2900.01,14.798,264.167
2903.13,14.798,264.167
2906.26,14.798,264.167
2909.38,14.798,264.167
2912.5,14.798,264.167
2915.62,14.798,264.167
2918.74,14.798,264.167
2921.86,14.798,264.167
2924.99,14.798,264.167
2928.11,14.798,264.167
2931.23,14.798,264.167
2934.35,14.798,264.167
2937.47,14.798,264.167
2940.59,14.798,264.167
2943.72,14.798,264.167
2946.84,14.798,264.167
2949.96,14.798,264.167
2953.08,14.798,264.167
2956.2,14.798,264.167
2959.33,14.798,264.167
2962.45,14.798,264.167
2965.57,14.798,264.167
2968.69,14.798,264.167
2971.81,14.798,264.167
2974.93,14.798,264.167
2978.06,14.798,264.167
2981.18,14.798,264.167
2984.3,14.798,264.167
2987.42,14.798,264.167
2990.54,14.798,264.167
2993.66,14.798,264.167
2996.79,14.798,264.167
2999.91,14.798,264.167
3003.03,14.798,264.167
3006.15,14.798,264.167
3009.27,14.798,264.167
3012.39,14.798,264.167
3015.52,14.798,264.167
3018.64,14.798,264.167
3021.76,14.798,264.167
3024.88,14.798,264.167
3028,14.798,264.167
3031.13,14.798,264.167
3034.25,14.798,264.167
3037.37,14.798,264.167
3040.49,14.798,264.167
3043.61,14.798,264.167
3046.73,14.798,264.167
3049.86,14.798,264.167
3052.98,14.798,264.167
3056.1,14.798,264.167
3059.22,14.798,264.167
3062.34,14.798,264.167
3065.46,14.798,264.167
3068.59,14.798,264.167
3071.71,14.798,264.167
3074.83,14.798,264.167
3077.95,14.798,264.167
3081.07,14.798,264.167
3084.19,14.798,264.167
3087.32,14.798,264.167
3090.44,14.798,264.167
3093.56,14.798,264.167
3096.68,14.798,264.167
3099.8,14.798,264.167
3102.92,14.798,264.167
3106.05,14.798,264.167
3109.17,14.798,264.167
3112.29,14.798,264.167
3115.41,14.798,264.167
3118.53,14.798,264.167
3121.66,14.798,264.167
