md, inc, azi
0,0,0
100.579,0,0
201.157,0,0
301.736,0,0
402.314,0,0
402.314,0,0
434.079,2.89082,296.082
465.845,5.78164,296.082
497.61,8.67246,296.082
529.375,11.5633,296.082
561.14,14.4541,296.082
592.905,17.3449,296.082
624.67,20.2357,296.082
656.436,23.1265,296.082
688.201,26.0174,296.082
719.966,28.9082,296.082
751.731,31.799,296.082
751.731,31.799,296.082
780.998,31.799,296.082
810.266,31.799,296.082
839.533,31.799,296.082
868.8,31.799,296.082
898.068,31.799,296.082
927.335,31.799,296.082
956.602,31.799,296.082
985.87,31.799,296.082
1015.14,31.799,296.082
1044.4,31.799,296.082
1073.67,31.799,296.082
1102.94,31.799,296.082
1132.21,31.799,296.082
1161.47,31.799,296.082
1190.74,31.799,296.082
1220.01,31.799,296.082
1249.28,31.799,296.082
1278.54,31.799,296.082
1307.81,31.799,296.082
1337.08,31.799,296.082
1366.34,31.799,296.082
1395.61,31.799,296.082
1424.88,31.799,296.082
1454.15,31.799,296.082
1483.41,31.799,296.082
1512.68,31.799,296.082
1541.95,31.799,296.082
1571.22,31.799,296.082
1600.48,31.799,296.082
1629.75,31.799,296.082
1659.02,31.799,296.082
1688.29,31.799,296.082
1717.55,31.799,296.082
1746.82,31.799,296.082
1776.09,31.799,296.082
1805.35,31.799,296.082
1834.62,31.799,296.082
1863.89,31.799,296.082
1893.16,31.799,296.082
1922.42,31.799,296.082
1951.69,31.799,296.082
1980.96,31.799,296.082
2010.23,31.799,296.082
2039.49,31.799,296.082
2068.76,31.799,296.082
2098.03,31.799,296.082
2127.29,31.799,296.082
2156.56,31.799,296.082
2185.83,31.799,296.082
2215.1,31.799,296.082
2244.36,31.799,296.082
2273.63,31.799,296.082
2302.9,31.799,296.082
2332.17,31.799,296.082
2361.43,31.799,296.082
2390.7,31.799,296.082
2419.97,31.799,296.082
2449.24,31.799,296.082
2478.5,31.799,296.082
2507.77,31.799,296.082
2537.04,31.799,296.082
2566.3,31.799,296.082
2595.57,31.799,296.082
2624.84,31.799,296.082
2654.11,31.799,296.082
2683.37,31.799,296.082
2712.64,31.799,296.082
2741.91,31.799,296.082
2771.18,31.799,296.082
2800.44,31.799,296.082
2829.71,31.799,296.082
2858.98,31.799,296.082
2888.24,31.799,296.082
2917.51,31.799,296.082
2946.78,31.799,296.082
2976.05,31.799,296.082
3005.31,31.799,296.082
3034.58,31.799,296.082
3063.85,31.799,296.082
3093.12,31.799,296.082
3122.38,31.799,296.082
3122.38,31.799,296.082
3123.16,31.8137,295.993
3123.94,31.8284,295.904
3124.72,31.8431,295.815
3125.5,31.858,295.726
3126.28,31.8729,295.637
3127.06,31.8878,295.548
3127.84,31.9028,295.459
3128.62,31.9179,295.371
3129.4,31.9331,295.282
3129.4,31.9331,295.282
3163.6,31.9331,295.282
3197.81,31.9331,295.282
3232.02,31.9331,295.282
3266.23,31.9331,295.282
3300.44,31.9331,295.282
