md, inc, azi
0,0,0
120.28,0,0
240.56,0,0
360.84,0,0
481.12,0,0
481.12,0,0
504.159,2.57429,290.014
527.198,5.14858,290.014
550.237,7.72287,290.014
573.276,10.2972,290.014
596.315,12.8714,290.014
619.354,15.4457,290.014
642.393,18.02,290.014
665.433,20.5943,290.014
688.472,23.1686,290.014
688.472,23.1686,290.014
714.708,23.1686,290.014
740.944,23.1686,290.014
767.181,23.1686,290.014
793.417,23.1686,290.014
819.654,23.1686,290.014
845.89,23.1686,290.014
872.126,23.1686,290.014
898.363,23.1686,290.014
924.599,23.1686,290.014
950.835,23.1686,290.014
977.072,23.1686,290.014
1003.31,23.1686,290.014
1029.54,23.1686,290.014
1055.78,23.1686,290.014
1082.02,23.1686,290.014
1108.25,23.1686,290.014
1134.49,23.1686,290.014
1160.73,23.1686,290.014
1186.96,23.1686,290.014
1213.2,23.1686,290.014
1239.44,23.1686,290.014
1265.67,23.1686,290.014
1291.91,23.1686,290.014
1318.14,23.1686,290.014
1344.38,23.1686,290.014
1370.62,23.1686,290.014
1396.85,23.1686,290.014
1423.09,23.1686,290.014
1449.33,23.1686,290.014
1475.56,23.1686,290.014
1501.8,23.1686,290.014
1528.04,23.1686,290.014
1554.27,23.1686,290.014
1580.51,23.1686,290.014
1606.75,23.1686,290.014
1632.98,23.1686,290.014
1659.22,23.1686,290.014
1685.45,23.1686,290.014
1711.69,23.1686,290.014
1737.93,23.1686,290.014
1764.16,23.1686,290.014
1790.4,23.1686,290.014
1816.64,23.1686,290.014
1842.87,23.1686,290.014
1869.11,23.1686,290.014
1895.35,23.1686,290.014
1921.58,23.1686,290.014
1947.82,23.1686,290.014
1974.05,23.1686,290.014
2000.29,23.1686,290.014
2026.53,23.1686,290.014
2052.76,23.1686,290.014
2079,23.1686,290.014
2105.24,23.1686,290.014
2131.47,23.1686,290.014
2157.71,23.1686,290.014
2183.95,23.1686,290.014
2210.18,23.1686,290.014
2236.42,23.1686,290.014
2262.65,23.1686,290.014
2288.89,23.1686,290.014
2288.89,23.1686,290.014
2289.24,23.1842,289.979
2289.58,23.1997,289.945
2289.93,23.2153,289.911
2290.27,23.2309,289.876
2290.62,23.2465,289.842
2290.96,23.2621,289.808
2291.31,23.2777,289.774
2291.65,23.2933,289.739
2292,23.3089,289.705
2292,23.3089,289.705
2318.96,23.3089,289.705
2345.93,23.3089,289.705
2372.89,23.3089,289.705
2399.86,23.3089,289.705
2426.82,23.3089,289.705
2453.79,23.3089,289.705
2480.75,23.3089,289.705
2507.72,23.3089,289.705
2534.68,23.3089,289.705
2561.65,23.3089,289.705
2588.61,23.3089,289.705
2615.58,23.3089,289.705
2642.54,23.3089,289.705
2669.51,23.3089,289.705
2696.47,23.3089,289.705
2723.44,23.3089,289.705
2750.4,23.3089,289.705
2777.37,23.3089,289.705
2804.33,23.3089,289.705
2831.3,23.3089,289.705
2858.27,23.3089,289.705
2885.23,23.3089,289.705
2912.2,23.3089,289.705
2939.16,23.3089,289.705
2966.13,23.3089,289.705
2993.09,23.3089,289.705
3020.06,23.3089,289.705
3047.02,23.3089,289.705
3073.99,23.3089,289.705
3100.95,23.3089,289.705
