md, inc, azi
0,0,0
107.487,0,0
214.974,0,0
322.461,0,0
429.948,0,0
429.948,0,0
464.51,5.18359,159.066
499.072,10.3672,159.066
533.634,15.5508,159.066
568.195,20.7343,159.066
602.757,25.9179,159.066
637.319,31.1015,159.066
671.881,36.2851,159.066
706.442,41.4687,159.066
741.004,46.6523,159.066
741.004,46.6523,159.066
775.893,46.6523,159.066
810.782,46.6523,159.066
845.672,46.6523,159.066
880.561,46.6523,159.066
915.45,46.6523,159.066
950.339,46.6523,159.066
985.228,46.6523,159.066
1020.12,46.6523,159.066
1055.01,46.6523,159.066
1089.9,46.6523,159.066
1124.78,46.6523,159.066
1159.67,46.6523,159.066
1194.56,46.6523,159.066
1229.45,46.6523,159.066
1264.34,46.6523,159.066
1299.23,46.6523,159.066
1334.12,46.6523,159.066
1369.01,46.6523,159.066
1403.9,46.6523,159.066
1438.79,46.6523,159.066
1473.68,46.6523,159.066
1508.56,46.6523,159.066
1543.45,46.6523,159.066
1578.34,46.6523,159.066
1613.23,46.6523,159.066
1648.12,46.6523,159.066
1683.01,46.6523,159.066
1717.9,46.6523,159.066
1752.79,46.6523,159.066
1787.68,46.6523,159.066
1822.57,46.6523,159.066
1857.46,46.6523,159.066
1892.34,46.6523,159.066
1927.23,46.6523,159.066
1962.12,46.6523,159.066
1997.01,46.6523,159.066
2031.9,46.6523,159.066
2066.79,46.6523,159.066
2101.68,46.6523,159.066
2136.57,46.6523,159.066
2171.46,46.6523,159.066
2206.35,46.6523,159.066
2241.24,46.6523,159.066
2276.12,46.6523,159.066
2311.01,46.6523,159.066
2345.9,46.6523,159.066
2380.79,46.6523,159.066
2415.68,46.6523,159.066
2450.57,46.6523,159.066
2485.46,46.6523,159.066
2520.35,46.6523,159.066
2555.24,46.6523,159.066
2590.13,46.6523,159.066
2625.02,46.6523,159.066
2659.91,46.6523,159.066
2694.79,46.6523,159.066
2729.68,46.6523,159.066
2764.57,46.6523,159.066
2799.46,46.6523,159.066
2834.35,46.6523,159.066
2869.24,46.6523,159.066
2904.13,46.6523,159.066
2939.02,46.6523,159.066
2973.91,46.6523,159.066
3008.8,46.6523,159.066
3043.69,46.6523,159.066
3078.57,46.6523,159.066
3113.46,46.6523,159.066
3148.35,46.6523,159.066
3183.24,46.6523,159.066
3218.13,46.6523,159.066
3253.02,46.6523,159.066
3287.91,46.6523,159.066
3322.8,46.6523,159.066
3357.69,46.6523,159.066
3392.58,46.6523,159.066
3427.47,46.6523,159.066
3427.47,46.6523,159.066
3434.99,45.9125,159.057
3442.52,45.1727,159.048
3450.05,44.4329,159.039
3457.57,43.6931,159.03
3465.1,42.9532,159.02
3472.63,42.2134,159.01
3480.16,41.4736,159
3487.68,40.7338,158.989
3495.21,39.994,158.978
3495.21,39.994,158.978
3530.68,39.994,158.978
3566.16,39.994,158.978
3601.63,39.994,158.978
3637.1,39.994,158.978
3672.57,39.994,158.978
3708.05,39.994,158.978
3743.52,39.994,158.978
3778.99,39.994,158.978
3814.46,39.994,158.978
3849.94,39.994,158.978
3885.41,39.994,158.978
