md, inc, azi
0,0,0
114.086,0,0
228.172,0,0
342.258,0,0
456.344,0,0
456.344,0,0
486.885,2.21584,317.169
517.425,4.43169,317.169
547.966,6.64754,317.169
578.506,8.86339,317.169
609.047,11.0792,317.169
639.588,13.2951,317.169
670.128,15.5109,317.169
700.669,17.7268,317.169
731.209,19.9426,317.169
761.75,22.1585,317.169
792.29,24.3743,317.169
822.831,26.5902,317.169
853.371,28.806,317.169
883.912,31.0219,317.169
914.452,33.2377,317.169
944.993,35.4536,317.169
944.993,35.4536,317.169
972.579,35.4536,317.169
1000.17,35.4536,317.169
1027.75,35.4536,317.169
1055.34,35.4536,317.169
1082.92,35.4536,317.169
1110.51,35.4536,317.169
1138.1,35.4536,317.169
1165.68,35.4536,317.169
1193.27,35.4536,317.169
1220.86,35.4536,317.169
1248.44,35.4536,317.169
1276.03,35.4536,317.169
1303.61,35.4536,317.169
1331.2,35.4536,317.169
1358.79,35.4536,317.169
1386.37,35.4536,317.169
1413.96,35.4536,317.169
1441.55,35.4536,317.169
1469.13,35.4536,317.169
1496.72,35.4536,317.169
1524.3,35.4536,317.169
1551.89,35.4536,317.169
1579.48,35.4536,317.169
1607.06,35.4536,317.169
1634.65,35.4536,317.169
1662.24,35.4536,317.169
1689.82,35.4536,317.169
1717.41,35.4536,317.169
1744.99,35.4536,317.169
1772.58,35.4536,317.169
1800.17,35.4536,317.169
1827.75,35.4536,317.169
1855.34,35.4536,317.169
1882.93,35.4536,317.169
1910.51,35.4536,317.169
1938.1,35.4536,317.169
1965.69,35.4536,317.169
1965.69,35.4536,317.169
1998.07,32.616,314.231
2030.45,29.8581,310.808
2062.84,27.2045,306.772
2095.22,24.689,301.959
2127.6,22.3585,296.172
2159.99,20.2771,289.191
2192.37,18.5292,280.826
2224.75,17.2167,271.019
2257.14,16.4442,259.996
2257.14,16.4442,259.996
2284.42,16.4442,259.996
2311.71,16.4442,259.996
2339,16.4442,259.996
2366.28,16.4442,259.996
2393.57,16.4442,259.996
2420.86,16.4442,259.996
2448.15,16.4442,259.996
2475.43,16.4442,259.996
2502.72,16.4442,259.996
2530.01,16.4442,259.996
2557.3,16.4442,259.996
2584.58,16.4442,259.996
2611.87,16.4442,259.996
2639.16,16.4442,259.996
2666.45,16.4442,259.996
2693.73,16.4442,259.996
2721.02,16.4442,259.996
2748.31,16.4442,259.996
2775.59,16.4442,259.996
2802.88,16.4442,259.996
2830.17,16.4442,259.996
2857.46,16.4442,259.996
2884.74,16.4442,259.996
2912.03,16.4442,259.996
2939.32,16.4442,259.996
2966.61,16.4442,259.996
2993.89,16.4442,259.996
3021.18,16.4442,259.996
3048.47,16.4442,259.996
3075.76,16.4442,259.996
3103.04,16.4442,259.996
3130.33,16.4442,259.996
3157.62,16.4442,259.996
3184.9,16.4442,259.996
