md, inc, azi
0,0,0
114.096,0,0
228.191,0,0
342.287,0,0
456.383,0,0
456.383,0,0
486.813,3.0713,301.661
517.244,6.14261,301.661
547.674,9.21391,301.661
578.105,12.2852,301.661
608.536,15.3565,301.661
638.966,18.4278,301.661
669.397,21.4991,301.661
699.827,24.5704,301.661
730.258,27.6417,301.661
760.688,30.713,301.661
760.688,30.713,301.661
787.789,30.713,301.661
814.89,30.713,301.661
841.991,30.713,301.661
869.092,30.713,301.661
896.192,30.713,301.661
923.293,30.713,301.661
950.394,30.713,301.661
977.495,30.713,301.661
1004.6,30.713,301.661
1031.7,30.713,301.661
1058.8,30.713,301.661
1085.9,30.713,301.661
1113,30.713,301.661
1140.1,30.713,301.661
1167.2,30.713,301.661
1194.3,30.713,301.661
1221.4,30.713,301.661
1248.5,30.713,301.661
1275.6,30.713,301.661
1302.7,30.713,301.661
1329.81,30.713,301.661
1356.91,30.713,301.661
1384.01,30.713,301.661
1411.11,30.713,301.661
1438.21,30.713,301.661
1465.31,30.713,301.661
1492.41,30.713,301.661
1519.51,30.713,301.661
1546.61,30.713,301.661
1573.71,30.713,301.661
1600.81,30.713,301.661
1627.91,30.713,301.661
1655.02,30.713,301.661
1682.12,30.713,301.661
1709.22,30.713,301.661
1736.32,30.713,301.661
1763.42,30.713,301.661
1790.52,30.713,301.661
1817.62,30.713,301.661
1844.72,30.713,301.661
1871.82,30.713,301.661
1898.92,30.713,301.661
1898.92,30.713,301.661
1928.41,29.0812,299.606
1957.89,27.484,297.331
1987.37,25.928,294.802
2016.85,24.4209,291.979
2046.33,22.9727,288.816
2075.82,21.5949,285.262
2105.3,20.3022,281.264
2134.78,19.1118,276.769
2164.26,18.0439,271.732
2193.74,17.1215,266.129
2223.23,16.3693,259.968
2223.23,16.3693,259.968
2250.1,16.3693,259.968
2276.98,16.3693,259.968
2303.85,16.3693,259.968
2330.73,16.3693,259.968
2357.6,16.3693,259.968
2384.47,16.3693,259.968
2411.35,16.3693,259.968
2438.22,16.3693,259.968
2465.1,16.3693,259.968
2491.97,16.3693,259.968
2518.85,16.3693,259.968
2545.72,16.3693,259.968
2572.6,16.3693,259.968
2599.47,16.3693,259.968
2626.35,16.3693,259.968
2653.22,16.3693,259.968
2680.1,16.3693,259.968
2706.97,16.3693,259.968
2733.84,16.3693,259.968
2760.72,16.3693,259.968
2787.59,16.3693,259.968
2814.47,16.3693,259.968
2841.34,16.3693,259.968
2868.22,16.3693,259.968
2895.09,16.3693,259.968
2921.97,16.3693,259.968
2948.84,16.3693,259.968
2975.72,16.3693,259.968
3002.59,16.3693,259.968
3029.47,16.3693,259.968
3056.34,16.3693,259.968
3083.22,16.3693,259.968
3110.09,16.3693,259.968
3136.96,16.3693,259.968
