md, inc, azi
0,0,0
101.649,0,0
203.298,0,0
304.946,0,0
406.595,0,0
406.595,0,0
431.971,3.37472,321.342
457.346,6.74946,321.342
482.722,10.1242,321.342
508.098,13.499,321.342
533.473,16.8738,321.342
558.849,20.2485,321.342
584.224,23.6233,321.342
609.6,26.998,321.342
634.976,30.3727,321.342
634.976,30.3727,321.342
661.605,30.3727,321.342
688.234,30.3727,321.342
714.862,30.3727,321.342
741.491,30.3727,321.342
768.12,30.3727,321.342
794.749,30.3727,321.342
821.378,30.3727,321.342
848.007,30.3727,321.342
874.636,30.3727,321.342
901.265,30.3727,321.342
927.894,30.3727,321.342
954.523,30.3727,321.342
954.523,30.3727,321.342
983.489,27.7537,322.322
1012.46,25.1429,323.488
1041.42,22.5432,324.904
1070.39,19.9589,326.667
1099.36,17.397,328.928
1128.32,14.869,331.937
1157.29,12.3956,336.129
1186.26,10.0175,342.319
1215.22,7.82201,352.112
1244.19,6.01273,8.51756
1273.16,5.02565,34.5445
1302.12,5.33822,64.1512
1302.12,5.33822,64.1512
1327.9,5.33822,64.1512
1353.68,5.33822,64.1512
1379.46,5.33822,64.1512
1405.23,5.33822,64.1512
1431.01,5.33822,64.1512
1456.79,5.33822,64.1512
1482.56,5.33822,64.1512
1508.34,5.33822,64.1512
1534.12,5.33822,64.1512
1559.9,5.33822,64.1512
1585.67,5.33822,64.1512
1611.45,5.33822,64.1512
1637.23,5.33822,64.1512
1663.01,5.33822,64.1512
1688.78,5.33822,64.1512
1714.56,5.33822,64.1512
1740.34,5.33822,64.1512
1766.11,5.33822,64.1512
1791.89,5.33822,64.1512
1817.67,5.33822,64.1512
1843.45,5.33822,64.1512
1869.22,5.33822,64.1512
1895,5.33822,64.1512
1920.78,5.33822,64.1512
1946.56,5.33822,64.1512
1972.33,5.33822,64.1512
1998.11,5.33822,64.1512
2023.89,5.33822,64.1512
2049.66,5.33822,64.1512
2075.44,5.33822,64.1512
2101.22,5.33822,64.1512
2127,5.33822,64.1512
2152.77,5.33822,64.1512
2178.55,5.33822,64.1512
2204.33,5.33822,64.1512
2230.1,5.33822,64.1512
2255.88,5.33822,64.1512
2281.66,5.33822,64.1512
2307.44,5.33822,64.1512
2333.21,5.33822,64.1512
2358.99,5.33822,64.1512
2384.77,5.33822,64.1512
2410.55,5.33822,64.1512
2436.32,5.33822,64.1512
2462.1,5.33822,64.1512
2487.88,5.33822,64.1512
2513.65,5.33822,64.1512
2539.43,5.33822,64.1512
2565.21,5.33822,64.1512
2590.99,5.33822,64.1512
2616.76,5.33822,64.1512
2642.54,5.33822,64.1512
2668.32,5.33822,64.1512
2694.1,5.33822,64.1512
2719.87,5.33822,64.1512
2745.65,5.33822,64.1512
2771.43,5.33822,64.1512
2797.2,5.33822,64.1512
2822.98,5.33822,64.1512
2848.76,5.33822,64.1512
2874.54,5.33822,64.1512
2900.31,5.33822,64.1512
2926.09,5.33822,64.1512
2951.87,5.33822,64.1512
2977.64,5.33822,64.1512
