md, inc, azi
0,0,0
157.129,0,0
314.258,0,0
471.387,0,0
628.516,0,0
628.516,0,0
654.356,3.5336,317.145
680.196,7.0672,317.145
706.036,10.6008,317.145
731.875,14.1344,317.145
757.715,17.668,317.145
783.555,21.2016,317.145
809.395,24.7352,317.145
835.234,28.2688,317.145
861.074,31.8024,317.145
861.074,31.8024,317.145
886.381,31.8024,317.145
911.687,31.8024,317.145
936.993,31.8024,317.145
962.3,31.8024,317.145
987.606,31.8024,317.145
1012.91,31.8024,317.145
1038.22,31.8024,317.145
1063.53,31.8024,317.145
1088.83,31.8024,317.145
1114.14,31.8024,317.145
1139.44,31.8024,317.145
1164.75,31.8024,317.145
1190.06,31.8024,317.145
1215.36,31.8024,317.145
1240.67,31.8024,317.145
1265.98,31.8024,317.145
1291.28,31.8024,317.145
1316.59,31.8024,317.145
1341.9,31.8024,317.145
1367.2,31.8024,317.145
1392.51,31.8024,317.145
1392.51,31.8024,317.145
1417.58,31.003,316.479
1442.65,30.2071,315.782
1467.72,29.4151,315.051
1492.79,28.6273,314.283
1517.86,27.844,313.475
1542.93,27.0657,312.625
1568,26.2928,311.728
1593.07,25.5257,310.781
1618.14,24.7651,309.78
1643.21,24.0116,308.719
1668.28,23.2657,307.595
1693.35,22.5284,306.401
1718.42,21.8005,305.131
1743.49,21.0829,303.778
1768.56,20.3767,302.335
1793.63,19.6833,300.793
1818.7,19.0038,299.145
1843.77,18.3401,297.381
1868.84,17.6936,295.491
1893.91,17.0666,293.465
1918.98,16.4611,291.291
1944.06,15.8797,288.96
1969.13,15.3251,286.46
1994.2,14.8003,283.782
2019.27,14.3086,280.918
2044.34,13.8534,277.863
2069.41,13.4387,274.613
2094.48,13.068,271.172
2119.55,12.7455,267.547
2144.62,12.4746,263.752
2169.69,12.259,259.808
2194.76,12.1015,255.745
2219.83,12.0044,251.597
2244.9,11.9692,247.403
2269.97,11.9965,243.207
2295.04,12.0858,239.05
2320.11,12.2357,234.974
2345.18,12.4442,231.014
2370.25,12.7082,227.199
2395.32,13.0244,223.551
2420.39,13.3891,220.086
2445.46,13.7985,216.812
2470.53,14.2487,213.732
2495.6,14.736,210.844
2520.67,15.2568,208.143
2545.74,15.8079,205.621
2545.74,15.8079,205.621
2570.95,15.8079,205.621
2596.16,15.8079,205.621
2621.37,15.8079,205.621
2646.58,15.8079,205.621
2671.78,15.8079,205.621
2696.99,15.8079,205.621
2722.2,15.8079,205.621
2747.41,15.8079,205.621
2772.62,15.8079,205.621
2797.83,15.8079,205.621
2823.03,15.8079,205.621
2848.24,15.8079,205.621
2873.45,15.8079,205.621
2898.66,15.8079,205.621
2923.87,15.8079,205.621
2949.08,15.8079,205.621
2974.28,15.8079,205.621
2999.49,15.8079,205.621
3024.7,15.8079,205.621
3049.91,15.8079,205.621
3075.12,15.8079,205.621
