md, inc, azi
0,0,0
142.661,0,0
285.321,0,0
427.982,0,0
570.643,0,0
570.643,0,0
605.686,3.00059,151.416
640.728,6.00121,151.416
675.771,9.00184,151.416
710.814,12.0025,151.416
745.857,15.0032,151.416
780.899,18.0038,151.416
815.942,21.0045,151.416
850.985,24.0053,151.416
886.027,27.006,151.416
921.07,30.0067,151.416
956.113,33.0074,151.416
991.156,36.0082,151.416
1026.2,39.0089,151.416
1061.24,42.0096,151.416
1096.28,45.0104,151.416
1131.33,48.0111,151.416
1166.37,51.0118,151.416
1201.41,54.0125,151.416
1236.45,57.0132,151.416
1271.5,60.0139,151.416
1306.54,63.0145,151.416
1341.58,66.0151,151.416
1376.63,69.0158,151.416
1411.67,72.0164,151.416
1411.67,72.0164,151.416
1446.07,72.0164,151.416
1480.47,72.0164,151.416
1514.87,72.0164,151.416
1549.27,72.0164,151.416
1583.68,72.0164,151.416
1618.08,72.0164,151.416
1652.48,72.0164,151.416
1686.88,72.0164,151.416
1721.28,72.0164,151.416
1755.68,72.0164,151.416
1790.08,72.0164,151.416
1824.49,72.0164,151.416
1858.89,72.0164,151.416
1893.29,72.0164,151.416
1927.69,72.0164,151.416
1962.09,72.0164,151.416
1996.49,72.0164,151.416
2030.89,72.0164,151.416
2030.89,72.0164,151.416
2066.02,69.8469,152.394
2101.16,67.6829,153.399
2136.29,65.5253,154.435
2171.42,63.3751,155.508
2206.55,61.2332,156.622
2241.68,59.1008,157.782
2276.81,56.9793,158.995
2311.94,54.87,160.268
2347.07,52.7748,161.608
2382.2,50.6956,163.025
2417.33,48.6345,164.528
2452.46,46.5943,166.129
2487.59,44.578,167.841
2522.72,42.5891,169.678
2557.86,40.6319,171.659
2592.99,38.7113,173.803
2628.12,36.8332,176.131
2663.25,35.0047,178.67
2698.38,33.234,181.447
2733.51,31.5311,184.493
2768.64,29.9076,187.842
2803.77,28.3773,191.528
2838.9,26.9562,195.582
2874.03,25.6625,200.032
2874.03,25.6625,200.032
2907.88,25.6625,200.032
2941.72,25.6625,200.032
2975.56,25.6625,200.032
3009.41,25.6625,200.032
3043.25,25.6625,200.032
3077.09,25.6625,200.032
3110.94,25.6625,200.032
3144.78,25.6625,200.032
3178.62,25.6625,200.032
3212.47,25.6625,200.032
3246.31,25.6625,200.032
3280.15,25.6625,200.032
3314,25.6625,200.032
3347.84,25.6625,200.032
3381.68,25.6625,200.032
3415.53,25.6625,200.032
3449.37,25.6625,200.032
3483.21,25.6625,200.032
3517.05,25.6625,200.032
3550.9,25.6625,200.032
3584.74,25.6625,200.032
3618.58,25.6625,200.032
3652.43,25.6625,200.032
3686.27,25.6625,200.032
3720.11,25.6625,200.032
3753.96,25.6625,200.032
3787.8,25.6625,200.032
3821.64,25.6625,200.032
3855.49,25.6625,200.032
3889.33,25.6625,200.032
3923.17,25.6625,200.032
