md, inc, azi
0,0,0
76.9573,0,0
153.915,0,0
230.872,0,0
307.829,0,0
384.787,0,0
461.744,0,0
538.701,0,0
615.659,0,0
692.616,0,0
692.616,0,0
715.39,3.38616,164.057
738.164,6.77232,164.057
760.938,10.1585,164.057
783.712,13.5446,164.057
806.486,16.9308,164.057
829.26,20.317,164.057
852.034,23.7031,164.057
874.808,27.0893,164.057
897.581,30.4754,164.057
897.581,30.4754,164.057
899.122,30.4754,164.057
900.662,30.4754,164.057
902.202,30.4754,164.057
903.743,30.4754,164.057
905.283,30.4754,164.057
906.823,30.4754,164.057
908.363,30.4754,164.057
909.904,30.4754,164.057
911.444,30.4754,164.057
911.444,30.4754,164.057
953.425,27.0698,162.538
995.406,23.6849,160.621
1037.39,20.3308,158.108
1079.37,17.0261,154.661
1121.35,13.8062,149.638
1163.33,10.7475,141.736
1205.31,8.03665,128.165
1247.29,6.1518,104.064
1289.28,5.93975,70.5819
1289.28,5.93975,70.5819
1371.97,5.93975,70.5819
1454.67,5.93975,70.5819
1537.36,5.93975,70.5819
1620.06,5.93975,70.5819
1702.75,5.93975,70.5819
1785.45,5.93975,70.5819
1868.14,5.93975,70.5819
1950.84,5.93975,70.5819
2033.54,5.93975,70.5819
2033.54,5.93975,70.5819
2093.95,8.18382,51.9439
2154.35,10.9014,41.8727
2214.76,13.8158,35.8892
2275.17,16.825,31.9839
2335.58,19.8861,29.2432
2395.99,22.9782,27.2115
2456.4,26.0904,25.6402
2516.81,29.2163,24.3835
2577.22,32.3517,23.3508
2577.22,32.3517,23.3508
2588.97,32.3517,23.3508
2600.72,32.3517,23.3508
2612.46,32.3517,23.3508
2624.21,32.3517,23.3508
2635.95,32.3517,23.3508
2647.7,32.3517,23.3508
2659.45,32.3517,23.3508
2671.19,32.3517,23.3508
2682.94,32.3517,23.3508
2682.94,32.3517,23.3508
2699.1,31.8348,18.9544
2715.27,31.473,14.4483
2731.43,31.2719,9.86925
2747.6,31.2346,5.2588
2763.76,31.3617,0.660219
2779.93,31.6511,356.116
2796.09,32.0984,351.666
2812.26,32.6972,347.343
2828.42,33.4391,343.175
2844.59,34.3148,339.181
2860.75,35.3142,335.374
2876.92,36.427,331.76
2893.08,37.643,328.339
2909.25,38.9523,325.109
2925.41,40.3456,322.062
2941.58,41.8144,319.188
2957.74,43.3508,316.479
2973.91,44.9475,313.922
2990.07,46.5982,311.506
3006.24,48.297,309.22
3022.4,50.0388,307.053
3038.57,51.8189,304.995
3054.73,53.6331,303.036
3070.9,55.4779,301.167
3087.06,57.3499,299.38
3103.22,59.2462,297.666
3119.39,61.1642,296.019
3135.55,63.1014,294.432
3151.72,65.0557,292.899
3167.88,67.0253,291.414
3184.05,69.0083,289.971
3200.21,71.0031,288.567
3216.38,73.0082,287.196
3232.54,75.0223,285.854
3248.71,77.0442,284.537
3264.87,79.0725,283.241
3281.04,81.1062,281.963
3297.2,83.1442,280.699
3313.37,85.1855,279.446
3329.53,87.2291,278.2
3345.7,89.274,276.959
3361.86,91.3192,275.719
3378.03,93.3638,274.477
3394.19,95.4068,273.229
3394.19,95.4068,273.229
3409.99,95.4068,273.229
3425.8,95.4068,273.229
3441.6,95.4068,273.229
3457.4,95.4068,273.229
3473.21,95.4068,273.229
3489.01,95.4068,273.229
3504.81,95.4068,273.229
3520.62,95.4068,273.229
3536.42,95.4068,273.229
3552.22,95.4068,273.229
3568.02,95.4068,273.229
3583.83,95.4068,273.229
3599.63,95.4068,273.229
3615.43,95.4068,273.229
3631.24,95.4068,273.229
3647.04,95.4068,273.229
3662.84,95.4068,273.229
3678.65,95.4068,273.229
3694.45,95.4068,273.229
3710.25,95.4068,273.229
3726.06,95.4068,273.229
3741.86,95.4068,273.229
3757.66,95.4068,273.229
3773.46,95.4068,273.229
3789.27,95.4068,273.229
3805.07,95.4068,273.229
3820.87,95.4068,273.229
3836.68,95.4068,273.229
3852.48,95.4068,273.229
3868.28,95.4068,273.229
3884.09,95.4068,273.229
3899.89,95.4068,273.229
3915.69,95.4068,273.229
3931.5,95.4068,273.229
3947.3,95.4068,273.229
3963.1,95.4068,273.229
3978.9,95.4068,273.229
3994.71,95.4068,273.229
4010.51,95.4068,273.229
4026.31,95.4068,273.229
4042.12,95.4068,273.229
4057.92,95.4068,273.229
4073.72,95.4068,273.229
4089.53,95.4068,273.229
4105.33,95.4068,273.229
4121.13,95.4068,273.229
4136.93,95.4068,273.229
4152.74,95.4068,273.229
4168.54,95.4068,273.229
4184.34,95.4068,273.229
4200.15,95.4068,273.229
4215.95,95.4068,273.229
4231.75,95.4068,273.229
4247.56,95.4068,273.229
