md, inc, azi
0,0,0
44.9114,0,0
89.8229,0,0
134.734,0,0
179.646,0,0
224.557,0,0
269.469,0,0
314.38,0,0
359.291,0,0
404.203,0,0
404.203,0,0
413.679,1.36369,253.397
423.155,2.72739,253.397
432.631,4.09108,253.397
442.107,5.45477,253.397
451.583,6.81847,253.397
461.06,8.18216,253.397
470.536,9.54585,253.397
480.012,10.9095,253.397
489.488,12.2732,253.397
498.964,13.6369,253.397
508.44,15.0006,253.397
517.916,16.3643,253.397
527.392,17.728,253.397
536.868,19.0917,253.397
546.345,20.4554,253.397
555.821,21.8191,253.397
565.297,23.1828,253.397
574.773,24.5465,253.397
584.249,25.9102,253.397
593.725,27.2739,253.397
603.201,28.6376,253.397
612.677,30.0013,253.397
622.153,31.3649,253.397
631.63,32.7286,253.397
631.63,32.7286,253.397
660.399,32.7286,253.397
689.169,32.7286,253.397
717.939,32.7286,253.397
746.709,32.7286,253.397
775.478,32.7286,253.397
804.248,32.7286,253.397
833.018,32.7286,253.397
861.788,32.7286,253.397
890.557,32.7286,253.397
919.327,32.7286,253.397
948.097,32.7286,253.397
976.867,32.7286,253.397
1005.64,32.7286,253.397
1034.41,32.7286,253.397
1063.18,32.7286,253.397
1091.95,32.7286,253.397
1120.72,32.7286,253.397
1149.49,32.7286,253.397
1178.26,32.7286,253.397
1207.02,32.7286,253.397
1235.79,32.7286,253.397
1264.56,32.7286,253.397
1293.33,32.7286,253.397
1322.1,32.7286,253.397
1350.87,32.7286,253.397
1379.64,32.7286,253.397
1408.41,32.7286,253.397
1437.18,32.7286,253.397
1465.95,32.7286,253.397
1494.72,32.7286,253.397
1523.49,32.7286,253.397
1552.26,32.7286,253.397
1581.03,32.7286,253.397
1609.8,32.7286,253.397
1638.57,32.7286,253.397
1667.34,32.7286,253.397
1696.11,32.7286,253.397
1724.88,32.7286,253.397
1753.65,32.7286,253.397
1782.42,32.7286,253.397
1811.19,32.7286,253.397
1839.96,32.7286,253.397
1868.73,32.7286,253.397
1897.5,32.7286,253.397
1926.27,32.7286,253.397
1955.04,32.7286,253.397
1983.81,32.7286,253.397
2012.58,32.7286,253.397
2041.35,32.7286,253.397
2070.12,32.7286,253.397
2098.89,32.7286,253.397
2127.66,32.7286,253.397
2156.43,32.7286,253.397
2185.2,32.7286,253.397
2213.97,32.7286,253.397
2242.74,32.7286,253.397
2271.51,32.7286,253.397
2300.28,32.7286,253.397
2329.05,32.7286,253.397
2357.82,32.7286,253.397
2386.59,32.7286,253.397
2415.35,32.7286,253.397
2444.12,32.7286,253.397
2472.89,32.7286,253.397
2501.66,32.7286,253.397
2530.43,32.7286,253.397
2530.43,32.7286,253.397
2561.21,30.1145,255.376
2591.99,27.5351,257.689
2622.77,25.0011,260.436
2653.55,22.5281,263.751
2684.33,20.1386,267.822
2715.1,17.8661,272.908
2745.88,15.7615,279.359
2776.66,13.9012,287.609
2807.44,12.3959,298.07
2838.22,11.3871,310.833
2869,11.0123,325.209
2899.78,11.3345,339.652
2930.55,12.2991,352.576
2961.33,13.7717,3.21755
2992.11,15.6091,11.6235
3022.89,17.6981,18.1968
3053.67,19.9598,23.3737
3084.45,22.3417,27.5119
3115.22,24.8092,30.8774
3146,27.3391,33.6626
3176.78,29.9155,36.0057
3207.56,32.5272,38.0067
3238.34,35.1665,39.7394
3269.12,37.8273,41.2584
