md, inc, azi
0,0,0
51.8747,0,0
103.749,0,0
155.624,0,0
207.499,0,0
259.374,0,0
311.248,0,0
363.123,0,0
414.998,0,0
466.872,0,0
466.872,0,0
497.431,3.34619,293.232
527.99,6.69239,293.232
558.549,10.0386,293.232
589.107,13.3848,293.232
619.666,16.731,293.232
650.225,20.0772,293.232
680.783,23.4234,293.232
711.342,26.7696,293.232
741.901,30.1157,293.232
741.901,30.1157,293.232
763.813,30.1157,293.232
785.725,30.1157,293.232
807.637,30.1157,293.232
829.55,30.1157,293.232
851.462,30.1157,293.232
873.374,30.1157,293.232
895.286,30.1157,293.232
917.199,30.1157,293.232
939.111,30.1157,293.232
939.111,30.1157,293.232
1040.08,26.7672,293.238
1141.05,23.4186,293.245
1242.02,20.07,293.254
1342.99,16.7214,293.267
1443.96,13.3728,293.286
1544.93,10.0242,293.317
1645.91,6.6756,293.378
1746.88,3.32704,293.563
1847.85,0,0
1847.85,0.0304094,68.5117
1873.68,0.0304094,68.5117
1899.51,0.0304094,68.5117
1925.35,0.0304094,68.5117
1951.18,0.0304094,68.5117
1977.02,0.0304094,68.5117
2002.85,0.0304094,68.5117
2028.68,0.0304094,68.5117
2054.52,0.0304094,68.5117
2080.35,0.0304094,68.5117
2080.35,0,0
2122.61,2.26441,259.461
2164.86,4.55867,259.389
2207.12,6.85294,259.365
2249.38,9.14721,259.353
2291.64,11.4415,259.345
2333.89,13.7357,259.341
2376.15,16.03,259.337
2418.41,18.3243,259.334
2460.66,20.6186,259.332
2460.66,20.6186,259.332
2487.71,20.6186,259.332
2514.76,20.6186,259.332
2541.8,20.6186,259.332
2568.85,20.6186,259.332
2595.9,20.6186,259.332
2622.95,20.6186,259.332
2649.99,20.6186,259.332
2677.04,20.6186,259.332
2704.09,20.6186,259.332
2704.09,20.6186,259.332
2705.65,20.8111,259.451
2707.22,21.0038,259.567
2708.79,21.1965,259.682
2710.36,21.3894,259.794
2711.92,21.5822,259.905
2713.49,21.7752,260.014
2715.06,21.9682,260.121
2716.63,22.1613,260.226
2718.19,22.3545,260.329
2718.19,22.3545,260.329
2721.46,22.3545,260.329
2724.72,22.3545,260.329
2727.99,22.3545,260.329
2731.25,22.3545,260.329
2734.52,22.3545,260.329
2737.78,22.3545,260.329
2741.05,22.3545,260.329
2744.31,22.3545,260.329
2747.58,22.3545,260.329
2750.84,22.3545,260.329
2754.11,22.3545,260.329
2757.37,22.3545,260.329
2760.64,22.3545,260.329
2763.9,22.3545,260.329
2767.17,22.3545,260.329
2770.43,22.3545,260.329
2773.7,22.3545,260.329
2776.96,22.3545,260.329
2780.23,22.3545,260.329
2783.5,22.3545,260.329
2786.76,22.3545,260.329
2790.03,22.3545,260.329
2793.29,22.3545,260.329
2796.56,22.3545,260.329
2799.82,22.3545,260.329
2803.09,22.3545,260.329
2806.35,22.3545,260.329
2809.62,22.3545,260.329
2812.88,22.3545,260.329
2816.15,22.3545,260.329
2819.41,22.3545,260.329
2822.68,22.3545,260.329
2825.94,22.3545,260.329
2829.21,22.3545,260.329
2832.47,22.3545,260.329
2835.74,22.3545,260.329
2839,22.3545,260.329
2842.27,22.3545,260.329
2845.53,22.3545,260.329
2848.8,22.3545,260.329
2852.06,22.3545,260.329
2855.33,22.3545,260.329
2858.59,22.3545,260.329
2861.86,22.3545,260.329
2865.12,22.3545,260.329
2868.39,22.3545,260.329
2871.65,22.3545,260.329
2874.92,22.3545,260.329
2878.18,22.3545,260.329
2881.45,22.3545,260.329
2884.71,22.3545,260.329
2887.98,22.3545,260.329
2891.24,22.3545,260.329
2894.51,22.3545,260.329
2897.77,22.3545,260.329
2901.04,22.3545,260.329
2904.3,22.3545,260.329
2907.57,22.3545,260.329
2910.83,22.3545,260.329
2914.1,22.3545,260.329
2917.36,22.3545,260.329
2920.63,22.3545,260.329
2923.89,22.3545,260.329
2927.16,22.3545,260.329
2930.43,22.3545,260.329
2933.69,22.3545,260.329
2936.96,22.3545,260.329
2940.22,22.3545,260.329
2943.49,22.3545,260.329
2946.75,22.3545,260.329
2950.02,22.3545,260.329
2953.28,22.3545,260.329
2956.55,22.3545,260.329
2959.81,22.3545,260.329
2963.08,22.3545,260.329
2966.34,22.3545,260.329
2969.61,22.3545,260.329
2972.87,22.3545,260.329
2976.14,22.3545,260.329
2979.4,22.3545,260.329
2982.67,22.3545,260.329
2985.93,22.3545,260.329
2989.2,22.3545,260.329
2992.46,22.3545,260.329
2995.73,22.3545,260.329
2998.99,22.3545,260.329
3002.26,22.3545,260.329
3005.52,22.3545,260.329
3008.79,22.3545,260.329
3012.05,22.3545,260.329
3015.32,22.3545,260.329
3018.58,22.3545,260.329
3021.85,22.3545,260.329
3025.11,22.3545,260.329
3028.38,22.3545,260.329
