md, inc, azi
0,0,0
140.079,0,0
280.159,0,0
420.238,0,0
560.317,0,0
560.317,0,0
592.108,3.29082,308.126
623.899,6.58165,308.126
655.691,9.87247,308.126
687.482,13.1633,308.126
719.273,16.4541,308.126
751.064,19.7449,308.126
782.855,23.0358,308.126
814.646,26.3266,308.126
846.437,29.6174,308.126
878.228,32.9082,308.126
910.019,36.1991,308.126
941.81,39.4899,308.126
973.601,42.7807,308.126
1005.39,46.0715,308.126
1037.18,49.3624,308.126
1037.18,49.3624,308.126
1066.78,49.3624,308.126
1096.37,49.3624,308.126
1125.97,49.3624,308.126
1155.56,49.3624,308.126
1185.16,49.3624,308.126
1214.75,49.3624,308.126
1244.35,49.3624,308.126
1273.94,49.3624,308.126
1303.53,49.3624,308.126
1333.13,49.3624,308.126
1362.72,49.3624,308.126
1392.32,49.3624,308.126
1421.91,49.3624,308.126
1451.51,49.3624,308.126
1481.1,49.3624,308.126
1510.7,49.3624,308.126
1540.29,49.3624,308.126
1569.89,49.3624,308.126
1599.48,49.3624,308.126
1629.08,49.3624,308.126
1658.67,49.3624,308.126
1688.26,49.3624,308.126
1717.86,49.3624,308.126
1747.45,49.3624,308.126
1777.05,49.3624,308.126
1806.64,49.3624,308.126
1836.24,49.3624,308.126
1865.83,49.3624,308.126
1895.43,49.3624,308.126
1925.02,49.3624,308.126
1954.62,49.3624,308.126
1984.21,49.3624,308.126
2013.8,49.3624,308.126
2043.4,49.3624,308.126
2072.99,49.3624,308.126
2102.59,49.3624,308.126
2132.18,49.3624,308.126
2161.78,49.3624,308.126
2161.78,49.3624,308.126
2193.75,46.4709,306.316
2225.72,43.6109,304.325
2257.69,40.7893,302.115
2289.67,38.0149,299.639
2321.64,35.2992,296.84
2353.61,32.6572,293.645
2385.58,30.1084,289.965
2417.55,27.6791,285.688
2449.53,25.4037,280.685
2481.5,23.3276,274.814
2513.47,21.5086,267.94
2545.44,20.0173,259.981
2577.41,18.9313,250.979
2577.41,18.9313,250.979
2607.02,18.9313,250.979
2636.62,18.9313,250.979
2666.22,18.9313,250.979
2695.82,18.9313,250.979
2725.43,18.9313,250.979
2755.03,18.9313,250.979
2784.63,18.9313,250.979
2814.24,18.9313,250.979
2843.84,18.9313,250.979
2873.44,18.9313,250.979
2903.04,18.9313,250.979
2932.65,18.9313,250.979
2962.25,18.9313,250.979
2991.85,18.9313,250.979
3021.45,18.9313,250.979
3051.06,18.9313,250.979
3080.66,18.9313,250.979
3110.26,18.9313,250.979
3139.87,18.9313,250.979
3169.47,18.9313,250.979
3199.07,18.9313,250.979
3228.67,18.9313,250.979
3258.28,18.9313,250.979
3287.88,18.9313,250.979
3317.48,18.9313,250.979
3347.09,18.9313,250.979
3376.69,18.9313,250.979
3406.29,18.9313,250.979
3435.89,18.9313,250.979
3465.5,18.9313,250.979
