md, inc, azi
0,0,0
106.455,0,0
212.911,0,0
319.366,0,0
425.822,0,0
425.822,0,0
465.647,5.8417,340.821
505.472,11.6834,340.821
545.297,17.5251,340.821
585.122,23.3668,340.821
624.947,29.2085,340.821
664.772,35.0502,340.821
704.597,40.8919,340.821
744.422,46.7336,340.821
784.247,52.5753,340.821
784.247,52.5753,340.821
818.772,52.5753,340.821
853.297,52.5753,340.821
887.822,52.5753,340.821
922.347,52.5753,340.821
956.872,52.5753,340.821
991.397,52.5753,340.821
1025.92,52.5753,340.821
1060.45,52.5753,340.821
1094.97,52.5753,340.821
1129.5,52.5753,340.821
1164.02,52.5753,340.821
1198.55,52.5753,340.821
1233.07,52.5753,340.821
1267.6,52.5753,340.821
1302.12,52.5753,340.821
1336.65,52.5753,340.821
1371.17,52.5753,340.821
1405.7,52.5753,340.821
1440.22,52.5753,340.821
1474.75,52.5753,340.821
1509.27,52.5753,340.821
1543.8,52.5753,340.821
1578.32,52.5753,340.821
1612.85,52.5753,340.821
1647.37,52.5753,340.821
1681.9,52.5753,340.821
1716.42,52.5753,340.821
1750.95,52.5753,340.821
1785.47,52.5753,340.821
1820,52.5753,340.821
1854.52,52.5753,340.821
1889.05,52.5753,340.821
1923.57,52.5753,340.821
1958.1,52.5753,340.821
1992.62,52.5753,340.821
2027.15,52.5753,340.821
2061.68,52.5753,340.821
2096.2,52.5753,340.821
2130.73,52.5753,340.821
2165.25,52.5753,340.821
2199.78,52.5753,340.821
2234.3,52.5753,340.821
2268.83,52.5753,340.821
2303.35,52.5753,340.821
2337.88,52.5753,340.821
2372.4,52.5753,340.821
2406.93,52.5753,340.821
2441.45,52.5753,340.821
2475.98,52.5753,340.821
2510.5,52.5753,340.821
2510.5,52.5753,340.821
2545.56,49.3607,343.467
2580.62,46.2126,346.379
2615.67,43.1465,349.61
2650.73,40.1822,353.225
2685.79,37.3448,357.302
2720.85,34.6664,1.92761
2755.9,32.1874,7.19677
2790.96,29.9579,13.2011
2826.02,28.0383,20.009
2826.02,28.0383,20.009
2860.11,28.0383,20.009
2894.19,28.0383,20.009
2928.28,28.0383,20.009
2962.36,28.0383,20.009
2996.45,28.0383,20.009
3030.54,28.0383,20.009
3064.62,28.0383,20.009
3098.71,28.0383,20.009
3132.8,28.0383,20.009
3166.88,28.0383,20.009
3200.97,28.0383,20.009
3235.05,28.0383,20.009
3269.14,28.0383,20.009
3303.23,28.0383,20.009
3337.31,28.0383,20.009
3371.4,28.0383,20.009
3405.49,28.0383,20.009
3439.57,28.0383,20.009
3473.66,28.0383,20.009
3507.75,28.0383,20.009
3541.83,28.0383,20.009
3575.92,28.0383,20.009
3610,28.0383,20.009
3644.09,28.0383,20.009
3678.18,28.0383,20.009
3712.26,28.0383,20.009
3746.35,28.0383,20.009
3780.44,28.0383,20.009
3814.52,28.0383,20.009
