md, inc, azi
0,0,0
18.886,0,0
37.772,0,0
56.658,0,0
75.544,0,0
94.43,0,0
113.316,0,0
132.202,0,0
151.088,0,0
169.974,0,0
169.974,0,0
202.687,1.58897,300.964
235.4,3.17794,300.964
268.113,4.76691,300.964
300.826,6.35587,300.964
333.538,7.94484,300.964
366.251,9.53381,300.964
398.964,11.1228,300.964
431.677,12.7117,300.964
464.39,14.3007,300.964
497.103,15.8897,300.964
529.816,17.4787,300.964
562.529,19.0676,300.964
595.242,20.6566,300.964
627.955,22.2456,300.964
660.667,23.8345,300.964
693.38,25.4235,300.964
726.093,27.0125,300.964
758.806,28.6014,300.964
791.519,30.1904,300.964
791.519,30.1904,300.964
809.11,30.1904,300.964
826.701,30.1904,300.964
844.293,30.1904,300.964
861.884,30.1904,300.964
879.475,30.1904,300.964
897.066,30.1904,300.964
914.657,30.1904,300.964
932.249,30.1904,300.964
949.84,30.1904,300.964
949.84,30.1904,300.964
978.742,28.7038,295.227
1007.64,27.4818,288.974
1036.55,26.5613,282.255
1065.45,25.9744,275.173
1094.35,25.7442,267.882
1123.25,25.8801,260.566
1152.16,26.3764,253.414
1181.06,27.2135,246.59
1209.96,28.3609,240.209
1238.86,29.7826,234.336
1267.77,31.4413,228.989
1296.67,33.3013,224.154
1325.57,35.3305,219.793
1354.47,37.501,215.86
1383.38,39.7894,212.308
1412.28,42.1761,209.087
1441.18,44.6449,206.154
1470.08,47.1824,203.469
1498.99,49.7777,200.998
1498.99,49.7777,200.998
1609.44,49.7777,200.998
1719.89,49.7777,200.998
1830.34,49.7777,200.998
1940.79,49.7777,200.998
2051.24,49.7777,200.998
2161.69,49.7777,200.998
2272.15,49.7777,200.998
2382.6,49.7777,200.998
2493.05,49.7777,200.998
2493.05,49.7777,200.998
2521.32,48.3946,201.198
2549.6,47.0118,201.406
2577.87,45.6294,201.624
2606.15,44.2474,201.852
2634.42,42.866,202.092
2662.7,41.485,202.344
2690.97,40.1047,202.611
2719.25,38.725,202.894
2747.52,37.346,203.194
2775.8,35.9678,203.513
2804.07,34.5905,203.855
2832.34,33.2142,204.221
2860.62,31.8391,204.615
2888.89,30.4653,205.04
2917.17,29.093,205.502
2945.44,27.7225,206.005
2973.72,26.3539,206.557
3001.99,24.9876,207.164
3030.27,23.6241,207.836
3030.27,23.6241,207.836
3051.23,23.6241,207.836
3072.19,23.6241,207.836
3093.15,23.6241,207.836
3114.11,23.6241,207.836
3135.07,23.6241,207.836
3156.03,23.6241,207.836
3177,23.6241,207.836
3197.96,23.6241,207.836
3218.92,23.6241,207.836
3218.92,23.6241,207.836
3225.56,24.4854,207.119
3232.19,25.3498,206.447
3238.83,26.2171,205.817
3245.47,27.0869,205.225
3252.11,27.9591,204.667
3258.75,28.8335,204.14
3265.39,29.7097,203.641
3272.02,30.5878,203.168
3278.66,31.4674,202.72
3285.3,32.3486,202.293
3291.94,33.2311,201.887
3298.58,34.1149,201.499
3305.22,34.9998,201.129
3311.86,35.8858,200.774
3318.49,36.7729,200.434
3325.13,37.6608,200.109
3331.77,38.5496,199.796
3338.41,39.4392,199.495
3345.05,40.3296,199.205
3351.69,41.2206,198.925
3358.32,42.1123,198.656
3364.96,43.0046,198.395
3371.6,43.8975,198.143
3378.24,44.7909,197.899
3384.88,45.6849,197.663
3391.52,46.5792,197.434
3398.15,47.4741,197.211
3404.79,48.3693,196.995
3411.43,49.265,196.784
3418.07,50.161,196.579
3424.71,51.0574,196.38
3431.35,51.9541,196.185
3437.98,52.8511,195.995
3444.62,53.7484,195.81
3451.26,54.646,195.629
3457.9,55.5439,195.452
3464.54,56.442,195.278
3471.18,57.3404,195.108
3477.81,58.2389,194.942
3484.45,59.1377,194.779
3491.09,60.0367,194.618
3497.73,60.9359,194.461
3504.37,61.8352,194.306
3511.01,62.7347,194.154
3517.64,63.6344,194.005
3524.28,64.5343,193.857
3530.92,65.4343,193.712
3537.56,66.3344,193.569
3544.2,67.2346,193.428
3550.84,68.135,193.289
3557.47,69.0355,193.151
3564.11,69.9361,193.015
3570.75,70.8368,192.881
3577.39,71.7376,192.748
3584.03,72.6385,192.617
3590.67,73.5395,192.487
3597.3,74.4405,192.358
3603.94,75.3416,192.23
3610.58,76.2428,192.103
3617.22,77.1441,191.977
3617.22,77.1441,191.977
3623.65,77.1441,191.977
3630.08,77.1441,191.977
3636.51,77.1441,191.977
3642.94,77.1441,191.977
3649.37,77.1441,191.977
3655.8,77.1441,191.977
3662.23,77.1441,191.977
3668.67,77.1441,191.977
3675.1,77.1441,191.977
3681.53,77.1441,191.977
3687.96,77.1441,191.977
3694.39,77.1441,191.977
3700.82,77.1441,191.977
3707.25,77.1441,191.977
3713.68,77.1441,191.977
3720.11,77.1441,191.977
3726.54,77.1441,191.977
3732.97,77.1441,191.977
3739.4,77.1441,191.977
3745.83,77.1441,191.977
3752.26,77.1441,191.977
3758.7,77.1441,191.977
3765.13,77.1441,191.977
3771.56,77.1441,191.977
3777.99,77.1441,191.977
3784.42,77.1441,191.977
3790.85,77.1441,191.977
3797.28,77.1441,191.977
3803.71,77.1441,191.977
3810.14,77.1441,191.977
3816.57,77.1441,191.977
3823,77.1441,191.977
3829.43,77.1441,191.977
3835.86,77.1441,191.977
3842.29,77.1441,191.977
3848.72,77.1441,191.977
3855.16,77.1441,191.977
3861.59,77.1441,191.977
