md, inc, azi
0,0,0
53.0297,0,0
106.059,0,0
159.089,0,0
212.119,0,0
265.149,0,0
318.178,0,0
371.208,0,0
424.238,0,0
477.267,0,0
477.267,0,0
497.873,1.58021,318.214
518.479,3.16041,318.214
539.086,4.74062,318.214
559.692,6.32083,318.214
580.298,7.90103,318.214
600.904,9.48124,318.214
621.51,11.0614,318.214
642.116,12.6417,318.214
662.722,14.2219,318.214
683.328,15.8021,318.214
703.934,17.3823,318.214
724.54,18.9625,318.214
745.146,20.5427,318.214
765.752,22.1229,318.214
786.358,23.7031,318.214
806.964,25.2833,318.214
827.57,26.8635,318.214
848.176,28.4437,318.214
868.782,30.0239,318.214
868.782,30.0239,318.214
875.056,30.0239,318.214
881.33,30.0239,318.214
887.605,30.0239,318.214
893.879,30.0239,318.214
900.153,30.0239,318.214
906.428,30.0239,318.214
912.702,30.0239,318.214
918.976,30.0239,318.214
925.251,30.0239,318.214
925.251,30.0239,318.214
972.35,28.327,316.371
1019.45,26.6578,314.315
1066.55,25.0217,312.009
1113.65,23.4258,309.406
1160.75,21.879,306.451
1207.85,20.3923,303.08
1254.95,18.98,299.216
1302.05,17.6599,294.777
1349.15,16.4543,289.679
1396.25,15.3901,283.848
1443.35,14.4986,277.248
1490.45,13.8131,270
1537.55,13.3655,261.955
1584.65,13.1801,253.624
1631.75,13.2678,245.233
1678.85,13.6233,237.112
1725.95,14.2266,229.531
1773.05,15.0479,222.657
1820.15,16.0538,216.552
1820.15,16.0538,216.552
1849.49,16.0538,216.552
1878.84,16.0538,216.552
1908.18,16.0538,216.552
1937.53,16.0538,216.552
1966.88,16.0538,216.552
1996.22,16.0538,216.552
2025.57,16.0538,216.552
2054.92,16.0538,216.552
2084.26,16.0538,216.552
2084.26,16.0538,216.552
2103.6,14.9064,215.391
2122.93,13.7658,214.043
2142.27,12.6339,212.457
2161.6,11.5131,210.566
2180.94,10.4071,208.276
2200.28,9.32119,205.453
2219.61,8.26323,201.905
2238.95,7.2455,197.347
2258.28,6.28756,191.361
2277.62,5.42121,183.358
2296.95,4.69739,172.627
2316.29,4.19064,158.698
2335.63,3.98464,142.217
2354.96,4.1247,125.466
2374.3,4.57918,110.937
2393.63,5.26731,99.6015
2412.97,6.11066,91.1244
2432.3,7.05377,84.7974
2451.64,8.0617,79.999
2451.64,8.0617,79.999
2478.22,8.0617,79.999
2504.81,8.0617,79.999
2531.39,8.0617,79.999
2557.97,8.0617,79.999
2584.56,8.0617,79.999
2611.14,8.0617,79.999
2637.73,8.0617,79.999
2664.31,8.0617,79.999
2690.89,8.0617,79.999
2690.89,8.0617,79.999
2694.27,8.1936,83.4298
2697.64,8.35352,86.7415
2701.01,8.53986,90
2704.38,8.75097,92.9544
2707.76,8.98508,95.8397
2711.13,9.24044,98.5734
2714.5,9.51535,101.156
2717.87,9.80816,103.59
2721.25,10.1173,105.881
2724.62,10.4414,108.034
2727.99,10.779,110.056
2731.37,11.1289,111.955
2734.74,11.49,113.738
2738.11,11.8613,115.412
2741.48,12.2419,116.984
2744.86,12.6308,118.462
2748.23,13.0274,119.853
2751.6,13.431,121.162
2754.97,13.8409,122.395
2758.35,14.2567,123.559
2761.72,14.6778,124.657
2765.09,15.1037,125.695
2768.46,15.5342,126.677
2771.84,15.9687,127.607
2775.21,16.4071,128.489
2778.58,16.8489,129.326
2781.96,17.294,130.122
2785.33,17.742,130.878
2788.7,18.1928,131.598
2792.07,18.6462,132.285
2795.45,19.1019,132.94
2798.82,19.5598,133.565
2802.19,20.0198,134.163
2805.56,20.4818,134.735
2808.94,20.9455,135.283
2812.31,21.4109,135.808
2815.68,21.8779,136.312
2819.05,22.3463,136.796
2822.43,22.8161,137.261
2825.8,23.2872,137.708
2829.17,23.7596,138.138
2832.54,24.233,138.552
2835.92,24.7076,138.952
2839.29,25.1832,139.337
2842.66,25.6597,139.709
2846.04,26.1372,140.068
2849.41,26.6155,140.416
2852.78,27.0946,140.751
2856.15,27.5745,141.077
2856.15,27.5745,141.077
2859.43,27.5745,141.077
2862.72,27.5745,141.077
2866,27.5745,141.077
2869.28,27.5745,141.077
2872.56,27.5745,141.077
2875.84,27.5745,141.077
2879.12,27.5745,141.077
2882.4,27.5745,141.077
2885.68,27.5745,141.077
2888.96,27.5745,141.077
2892.25,27.5745,141.077
2895.53,27.5745,141.077
2898.81,27.5745,141.077
2902.09,27.5745,141.077
2905.37,27.5745,141.077
2908.65,27.5745,141.077
2911.93,27.5745,141.077
2915.21,27.5745,141.077
2918.49,27.5745,141.077
2921.78,27.5745,141.077
2925.06,27.5745,141.077
2928.34,27.5745,141.077
2931.62,27.5745,141.077
2934.9,27.5745,141.077
2938.18,27.5745,141.077
2941.46,27.5745,141.077
2944.74,27.5745,141.077
2948.02,27.5745,141.077
2951.3,27.5745,141.077
2954.59,27.5745,141.077
2957.87,27.5745,141.077
2961.15,27.5745,141.077
2964.43,27.5745,141.077
2967.71,27.5745,141.077
2970.99,27.5745,141.077
2974.27,27.5745,141.077
2977.55,27.5745,141.077
2980.83,27.5745,141.077
2984.12,27.5745,141.077
2987.4,27.5745,141.077
2990.68,27.5745,141.077
2993.96,27.5745,141.077
2997.24,27.5745,141.077
3000.52,27.5745,141.077
3003.8,27.5745,141.077
3007.08,27.5745,141.077
3010.36,27.5745,141.077
3013.65,27.5745,141.077
3016.93,27.5745,141.077
