md, inc, azi
0,0,0
145.364,0,0
290.728,0,0
436.092,0,0
581.456,0,0
581.456,0,0
615.542,3.33487,128.168
649.629,6.66974,128.168
683.716,10.0046,128.168
717.803,13.3395,128.168
751.89,16.6744,128.168
785.977,20.0093,128.168
820.063,23.3442,128.168
854.15,26.6792,128.168
888.237,30.0141,128.168
922.324,33.349,128.168
956.411,36.6839,128.168
990.498,40.0189,128.168
1024.58,43.3538,128.168
1058.67,46.6887,128.168
1092.76,50.0237,128.168
1126.84,53.3586,128.168
1160.93,56.6935,128.168
1195.02,60.0284,128.168
1229.11,63.3633,128.168
1263.19,66.6982,128.168
1297.28,70.0331,128.168
1331.37,73.368,128.168
1365.45,76.7029,128.168
1399.54,80.0378,128.168
1399.54,80.0378,128.168
1437.68,80.0378,128.168
1475.81,80.0378,128.168
1513.95,80.0378,128.168
1552.08,80.0378,128.168
1590.22,80.0378,128.168
1628.36,80.0378,128.168
1666.49,80.0378,128.168
1704.63,80.0378,128.168
1742.77,80.0378,128.168
1780.9,80.0378,128.168
1819.04,80.0378,128.168
1857.17,80.0378,128.168
1895.31,80.0378,128.168
1933.45,80.0378,128.168
1971.58,80.0378,128.168
2009.72,80.0378,128.168
2047.85,80.0378,128.168
2085.99,80.0378,128.168
2124.13,80.0378,128.168
2162.26,80.0378,128.168
2200.4,80.0378,128.168
2238.54,80.0378,128.168
2276.67,80.0378,128.168
2276.67,80.0378,128.168
2316.87,77.4503,129.534
2357.07,74.8699,130.928
2397.27,72.2983,132.357
2437.47,69.7373,133.827
2477.67,67.189,135.346
2517.87,64.6556,136.923
2558.07,62.1397,138.567
2598.27,59.6442,140.289
2638.47,57.1725,142.101
2678.67,54.7283,144.016
2718.87,52.3162,146.049
2759.07,49.9414,148.218
2799.27,47.6099,150.542
2839.47,45.3289,153.044
2879.67,43.107,155.748
2919.87,40.9542,158.682
2960.07,38.8824,161.876
3000.28,36.9056,165.363
3040.48,35.0404,169.175
3080.68,33.3057,173.345
3120.88,31.7234,177.899
3161.08,30.3176,182.854
3201.28,29.1141,188.21
3241.48,28.1391,193.944
3281.68,27.4171,200.004
3281.68,27.4171,200.004
3320.76,27.4171,200.004
3359.84,27.4171,200.004
3398.92,27.4171,200.004
3438,27.4171,200.004
3477.08,27.4171,200.004
3516.16,27.4171,200.004
3555.24,27.4171,200.004
3594.32,27.4171,200.004
3633.4,27.4171,200.004
3672.48,27.4171,200.004
3711.56,27.4171,200.004
3750.64,27.4171,200.004
3789.72,27.4171,200.004
3828.8,27.4171,200.004
3867.88,27.4171,200.004
3906.96,27.4171,200.004
3946.04,27.4171,200.004
3985.12,27.4171,200.004
4024.2,27.4171,200.004
4063.28,27.4171,200.004
4102.36,27.4171,200.004
4141.44,27.4171,200.004
4180.52,27.4171,200.004
4219.6,27.4171,200.004
4258.68,27.4171,200.004
4297.76,27.4171,200.004
4336.84,27.4171,200.004
4375.92,27.4171,200.004
