md, inc, azi
0,0,0
145.247,0,0
290.494,0,0
435.741,0,0
580.988,0,0
580.988,0,0
610.372,3.33352,142.076
639.756,6.66704,142.076
669.14,10.0006,142.076
698.524,13.3341,142.076
727.908,16.6677,142.076
757.293,20.0012,142.076
786.677,23.3348,142.076
816.061,26.6683,142.076
845.445,30.0019,142.076
874.829,33.3354,142.076
904.213,36.669,142.076
933.597,40.0026,142.076
962.981,43.3361,142.076
992.365,46.6697,142.076
1021.75,50.0033,142.076
1051.13,53.3368,142.076
1080.52,56.6704,142.076
1109.9,60.0039,142.076
1139.28,63.3375,142.076
1168.67,66.671,142.076
1198.05,70.0046,142.076
1227.44,73.3381,142.076
1256.82,76.6716,142.076
1286.2,80.0051,142.076
1286.2,80.0051,142.076
1324.28,80.0051,142.076
1362.36,80.0051,142.076
1400.44,80.0051,142.076
1438.52,80.0051,142.076
1476.6,80.0051,142.076
1514.68,80.0051,142.076
1552.76,80.0051,142.076
1590.84,80.0051,142.076
1628.92,80.0051,142.076
1667,80.0051,142.076
1705.08,80.0051,142.076
1743.16,80.0051,142.076
1781.24,80.0051,142.076
1819.32,80.0051,142.076
1857.4,80.0051,142.076
1895.48,80.0051,142.076
1933.56,80.0051,142.076
1971.64,80.0051,142.076
2009.72,80.0051,142.076
2047.8,80.0051,142.076
2085.87,80.0051,142.076
2123.95,80.0051,142.076
2162.03,80.0051,142.076
2162.03,80.0051,142.076
2201.8,77.5919,143.238
2241.56,75.1836,144.422
2281.32,72.7816,145.632
2321.09,70.3869,146.875
2360.85,68.0011,148.154
2400.61,65.6255,149.478
2440.37,63.2618,150.852
2480.14,60.912,152.284
2519.9,58.578,153.783
2559.66,56.2624,155.358
2599.42,53.9679,157.021
2639.19,51.6978,158.782
2678.95,49.4556,160.657
2718.71,47.2459,162.66
2758.48,45.0736,164.811
2798.24,42.9448,167.128
2838,40.8667,169.637
2877.76,38.8475,172.361
2917.53,36.8974,175.33
2957.29,35.0281,178.575
2997.05,33.2535,182.129
3036.82,31.5897,186.023
3076.58,30.0555,190.287
3116.34,28.6717,194.943
3156.1,27.4613,200.001
3156.1,27.4613,200.001
3195.13,27.4613,200.001
3234.15,27.4613,200.001
3273.17,27.4613,200.001
3312.19,27.4613,200.001
3351.21,27.4613,200.001
3390.23,27.4613,200.001
3429.26,27.4613,200.001
3468.28,27.4613,200.001
3507.3,27.4613,200.001
3546.32,27.4613,200.001
3585.34,27.4613,200.001
3624.37,27.4613,200.001
3663.39,27.4613,200.001
3702.41,27.4613,200.001
3741.43,27.4613,200.001
3780.45,27.4613,200.001
3819.48,27.4613,200.001
3858.5,27.4613,200.001
3897.52,27.4613,200.001
3936.54,27.4613,200.001
3975.56,27.4613,200.001
4014.58,27.4613,200.001
4053.61,27.4613,200.001
4092.63,27.4613,200.001
4131.65,27.4613,200.001
4170.67,27.4613,200.001
4209.69,27.4613,200.001
4248.72,27.4613,200.001
4287.74,27.4613,200.001
4326.76,27.4613,200.001
4365.78,27.4613,200.001
