md, inc, azi
0,0,0
2.98609,0.570304,180
5.97217,1.14061,180
8.95826,1.71091,180
11.9443,2.28121,180
14.9304,2.85152,180
17.9165,3.42182,180
20.9026,3.99213,180
23.8887,4.56243,180
26.8748,5.13273,180
26.8748,5.13273,180
37.098,5.13273,180
47.3212,5.13273,180
57.5445,5.13273,180
67.7677,5.13273,180
77.9909,5.13273,180
88.2142,5.13273,180
98.4374,5.13273,180
108.661,5.13273,180
118.884,5.13273,180
129.107,5.13273,180
139.33,5.13273,180
149.554,5.13273,180
159.777,5.13273,180
170,5.13273,180
180.223,5.13273,180
190.447,5.13273,180
200.67,5.13273,180
210.893,5.13273,180
221.116,5.13273,180
231.339,5.13273,180
241.563,5.13273,180
251.786,5.13273,180
262.009,5.13273,180
272.232,5.13273,180
282.456,5.13273,180
292.679,5.13273,180
302.902,5.13273,180
313.125,5.13273,180
323.349,5.13273,180
333.572,5.13273,180
343.795,5.13273,180
354.018,5.13273,180
364.242,5.13273,180
374.465,5.13273,180
384.688,5.13273,180
394.911,5.13273,180
405.134,5.13273,180
415.358,5.13273,180
425.581,5.13273,180
435.804,5.13273,180
446.027,5.13273,180
456.251,5.13273,180
466.474,5.13273,180
476.697,5.13273,180
486.92,5.13273,180
497.144,5.13273,180
507.367,5.13273,180
517.59,5.13273,180
527.813,5.13273,180
538.037,5.13273,180
548.26,5.13273,180
558.483,5.13273,180
568.706,5.13273,180
578.929,5.13273,180
589.153,5.13273,180
599.376,5.13273,180
609.599,5.13273,180
619.822,5.13273,180
630.046,5.13273,180
640.269,5.13273,180
650.492,5.13273,180
660.715,5.13273,180
670.939,5.13273,180
681.162,5.13273,180
691.385,5.13273,180
701.608,5.13273,180
711.832,5.13273,180
722.055,5.13273,180
732.278,5.13273,180
742.501,5.13273,180
752.724,5.13273,180
762.948,5.13273,180
773.171,5.13273,180
783.394,5.13273,180
783.394,5.13273,180
794.136,3.08125,180
804.877,1.02976,180
815.619,1.02173,0
826.36,3.07322,0
837.102,5.12471,0
847.844,7.17619,0
858.585,9.22768,0
869.327,11.2792,0
880.068,13.3307,0
890.81,15.3821,0
901.551,17.4336,0
912.293,19.4851,0
923.035,21.5366,0
933.776,23.5881,0
944.518,25.6396,0
955.259,27.6911,0
966.001,29.7426,0
976.742,31.794,0
987.484,33.8455,0
998.226,35.897,0
1008.97,37.9485,0
1019.71,40,0
