md, inc, azi
0,0,0
101.751,0,0
203.502,0,0
305.252,0,0
407.003,0,0
407.003,0,0
439.783,3.37791,290.005
472.563,6.75582,290.005
505.343,10.1337,290.005
538.123,13.5116,290.005
570.903,16.8896,290.005
603.683,20.2675,290.005
636.463,23.6454,290.005
669.242,27.0233,290.005
702.022,30.4012,290.005
734.802,33.7791,290.005
767.582,37.1571,290.005
800.362,40.535,290.005
833.142,43.9129,290.005
865.922,47.2908,290.005
898.702,50.6687,290.005
931.482,54.0466,290.005
964.262,57.4245,290.005
964.262,57.4245,290.005
994.232,57.4245,290.005
1024.2,57.4245,290.005
1054.17,57.4245,290.005
1084.14,57.4245,290.005
1114.11,57.4245,290.005
1144.08,57.4245,290.005
1174.06,57.4245,290.005
1204.03,57.4245,290.005
1234,57.4245,290.005
1263.97,57.4245,290.005
1293.94,57.4245,290.005
1323.91,57.4245,290.005
1353.88,57.4245,290.005
1383.85,57.4245,290.005
1413.82,57.4245,290.005
1443.79,57.4245,290.005
1473.76,57.4245,290.005
1503.73,57.4245,290.005
1533.7,57.4245,290.005
1563.67,57.4245,290.005
1593.64,57.4245,290.005
1623.61,57.4245,290.005
1653.58,57.4245,290.005
1683.55,57.4245,290.005
1713.52,57.4245,290.005
1743.5,57.4245,290.005
1773.47,57.4245,290.005
1803.44,57.4245,290.005
1833.41,57.4245,290.005
1863.38,57.4245,290.005
1893.35,57.4245,290.005
1923.32,57.4245,290.005
1953.29,57.4245,290.005
1983.26,57.4245,290.005
2013.23,57.4245,290.005
2043.2,57.4245,290.005
2073.17,57.4245,290.005
2103.14,57.4245,290.005
2133.11,57.4245,290.005
2163.08,57.4245,290.005
2193.05,57.4245,290.005
2223.02,57.4245,290.005
2252.99,57.4245,290.005
2282.96,57.4245,290.005
2312.94,57.4245,290.005
2342.91,57.4245,290.005
2372.88,57.4245,290.005
2402.85,57.4245,290.005
2402.85,57.4245,290.005
2435.05,53.0158,291.178
2467.26,48.62,292.496
2499.46,44.2415,294.004
2531.67,39.8861,295.77
2563.87,35.5629,297.887
2596.08,31.2854,300.503
2628.28,27.0757,303.845
2660.49,22.9714,308.295
2692.7,19.041,314.509
2724.9,15.4183,323.651
2757.11,12.377,337.646
2789.31,10.4384,358.433
2821.52,10.2487,23.7437
2853.72,11.8919,45.8233
2885.93,14.7684,61.0336
2918.13,18.3055,70.9455
2950.34,22.1895,77.6173
2982.54,26.2667,82.347
3014.75,30.4596,85.869
3046.95,34.7259,88.6045
3046.95,34.7259,88.6045
3078.49,34.7259,88.6045
3110.03,34.7259,88.6045
3141.57,34.7259,88.6045
3173.11,34.7259,88.6045
3204.65,34.7259,88.6045
3236.19,34.7259,88.6045
3267.73,34.7259,88.6045
3299.27,34.7259,88.6045
3330.81,34.7259,88.6045
3362.35,34.7259,88.6045
