md, inc, azi
0,0,0
138.293,0,0
276.586,0,0
414.879,0,0
553.172,0,0
553.172,0,0
578.255,2.39729,316.187
603.338,4.79459,316.187
628.421,7.19188,316.187
653.504,9.58917,316.187
678.587,11.9865,316.187
703.67,14.3838,316.187
728.753,16.7811,316.187
753.836,19.1783,316.187
778.919,21.5756,316.187
804.002,23.9729,316.187
829.085,26.3702,316.187
854.168,28.7675,316.187
879.251,31.1648,316.187
879.251,31.1648,316.187
901.58,31.1648,316.187
923.91,31.1648,316.187
946.24,31.1648,316.187
968.569,31.1648,316.187
990.899,31.1648,316.187
1013.23,31.1648,316.187
1035.56,31.1648,316.187
1057.89,31.1648,316.187
1080.22,31.1648,316.187
1102.55,31.1648,316.187
1124.88,31.1648,316.187
1147.21,31.1648,316.187
1169.54,31.1648,316.187
1191.87,31.1648,316.187
1214.19,31.1648,316.187
1236.52,31.1648,316.187
1258.85,31.1648,316.187
1281.18,31.1648,316.187
1303.51,31.1648,316.187
1325.84,31.1648,316.187
1348.17,31.1648,316.187
1370.5,31.1648,316.187
1392.83,31.1648,316.187
1415.16,31.1648,316.187
1437.49,31.1648,316.187
1459.82,31.1648,316.187
1482.15,31.1648,316.187
1504.48,31.1648,316.187
1526.81,31.1648,316.187
1549.14,31.1648,316.187
1571.47,31.1648,316.187
1593.8,31.1648,316.187
1616.13,31.1648,316.187
1638.46,31.1648,316.187
1660.79,31.1648,316.187
1683.12,31.1648,316.187
1705.45,31.1648,316.187
1727.78,31.1648,316.187
1750.11,31.1648,316.187
1750.11,31.1648,316.187
1774.63,30.3043,309.892
1799.16,29.7592,303.328
1823.68,29.547,296.61
1848.2,29.6749,289.875
1872.73,30.1385,283.261
1897.25,30.9227,276.89
1921.78,32.0037,270.856
1946.3,33.3524,265.217
1970.83,34.9375,259.999
1970.83,34.9375,259.999
1993.33,34.9375,259.999
2015.84,34.9375,259.999
2038.35,34.9375,259.999
2060.85,34.9375,259.999
2083.36,34.9375,259.999
2105.86,34.9375,259.999
2128.37,34.9375,259.999
2150.87,34.9375,259.999
2173.38,34.9375,259.999
2195.88,34.9375,259.999
2218.39,34.9375,259.999
2240.89,34.9375,259.999
2263.4,34.9375,259.999
2285.9,34.9375,259.999
2308.41,34.9375,259.999
2330.92,34.9375,259.999
2353.42,34.9375,259.999
2375.93,34.9375,259.999
2398.43,34.9375,259.999
2420.94,34.9375,259.999
2443.44,34.9375,259.999
2465.95,34.9375,259.999
2488.45,34.9375,259.999
2510.96,34.9375,259.999
2533.46,34.9375,259.999
2555.97,34.9375,259.999
2578.47,34.9375,259.999
2600.98,34.9375,259.999
2623.49,34.9375,259.999
2645.99,34.9375,259.999
2668.5,34.9375,259.999
2691,34.9375,259.999
2713.51,34.9375,259.999
2736.01,34.9375,259.999
2758.52,34.9375,259.999
2781.02,34.9375,259.999
