md, inc, azi
0,0,0
108.452,0,0
216.903,0,0
325.355,0,0
433.807,0,0
433.807,0,0
459.453,3.37333,329.631
485.099,6.74665,329.631
510.745,10.12,329.631
536.39,13.4933,329.631
562.036,16.8666,329.631
587.682,20.24,329.631
613.328,23.6133,329.631
638.974,26.9866,329.631
664.62,30.3599,329.631
664.62,30.3599,329.631
688.329,30.3599,329.631
712.038,30.3599,329.631
735.747,30.3599,329.631
759.456,30.3599,329.631
783.165,30.3599,329.631
806.874,30.3599,329.631
830.582,30.3599,329.631
854.291,30.3599,329.631
878,30.3599,329.631
901.709,30.3599,329.631
925.418,30.3599,329.631
949.127,30.3599,329.631
972.836,30.3599,329.631
996.545,30.3599,329.631
1020.25,30.3599,329.631
1043.96,30.3599,329.631
1067.67,30.3599,329.631
1091.38,30.3599,329.631
1115.09,30.3599,329.631
1138.8,30.3599,329.631
1162.51,30.3599,329.631
1186.22,30.3599,329.631
1209.93,30.3599,329.631
1233.63,30.3599,329.631
1257.34,30.3599,329.631
1281.05,30.3599,329.631
1304.76,30.3599,329.631
1328.47,30.3599,329.631
1352.18,30.3599,329.631
1375.89,30.3599,329.631
1399.6,30.3599,329.631
1423.31,30.3599,329.631
1447.01,30.3599,329.631
1470.72,30.3599,329.631
1494.43,30.3599,329.631
1518.14,30.3599,329.631
1541.85,30.3599,329.631
1565.56,30.3599,329.631
1589.27,30.3599,329.631
1612.98,30.3599,329.631
1636.69,30.3599,329.631
1660.4,30.3599,329.631
1684.1,30.3599,329.631
1707.81,30.3599,329.631
1731.52,30.3599,329.631
1755.23,30.3599,329.631
1778.94,30.3599,329.631
1802.65,30.3599,329.631
1826.36,30.3599,329.631
1826.36,30.3599,329.631
1852.2,29.552,324.709
1878.04,28.934,319.566
1903.88,28.5183,314.254
1929.73,28.3141,308.834
1955.57,28.3258,303.381
1981.41,28.5533,297.97
2007.25,28.9913,292.672
2033.09,29.6306,287.552
2058.94,30.4583,282.656
2084.78,31.4594,278.019
2110.62,32.618,273.659
2136.46,33.9176,269.581
2162.3,35.3426,265.782
2188.14,36.8782,262.25
2213.99,38.511,258.969
2213.99,38.511,258.969
2238.48,38.511,258.969
2262.97,38.511,258.969
2287.46,38.511,258.969
2311.95,38.511,258.969
2336.44,38.511,258.969
2360.94,38.511,258.969
2385.43,38.511,258.969
2409.92,38.511,258.969
2434.41,38.511,258.969
2458.9,38.511,258.969
2483.39,38.511,258.969
2507.88,38.511,258.969
2532.38,38.511,258.969
2556.87,38.511,258.969
2581.36,38.511,258.969
2605.85,38.511,258.969
2630.34,38.511,258.969
2654.83,38.511,258.969
2679.32,38.511,258.969
2703.82,38.511,258.969
2728.31,38.511,258.969
2752.8,38.511,258.969
2777.29,38.511,258.969
2801.78,38.511,258.969
