md, inc, azi
0,0,0
159.758,0,0
319.516,0,0
479.273,0,0
639.031,0,0
639.031,0,0
664.379,3.34036,304.307
689.727,6.68072,304.307
715.075,10.0211,304.307
740.424,13.3614,304.307
765.772,16.7018,304.307
791.12,20.0422,304.307
816.468,23.3825,304.307
841.816,26.7229,304.307
867.164,30.0632,304.307
867.164,30.0632,304.307
892.59,30.0632,304.307
918.015,30.0632,304.307
943.441,30.0632,304.307
968.867,30.0632,304.307
994.292,30.0632,304.307
1019.72,30.0632,304.307
1045.14,30.0632,304.307
1070.57,30.0632,304.307
1095.99,30.0632,304.307
1121.42,30.0632,304.307
1146.85,30.0632,304.307
1172.27,30.0632,304.307
1197.7,30.0632,304.307
1223.12,30.0632,304.307
1248.55,30.0632,304.307
1273.97,30.0632,304.307
1299.4,30.0632,304.307
1324.83,30.0632,304.307
1350.25,30.0632,304.307
1375.68,30.0632,304.307
1401.1,30.0632,304.307
1426.53,30.0632,304.307
1451.95,30.0632,304.307
1477.38,30.0632,304.307
1502.81,30.0632,304.307
1528.23,30.0632,304.307
1553.66,30.0632,304.307
1579.08,30.0632,304.307
1604.51,30.0632,304.307
1629.93,30.0632,304.307
1655.36,30.0632,304.307
1680.79,30.0632,304.307
1706.21,30.0632,304.307
1731.64,30.0632,304.307
1757.06,30.0632,304.307
1782.49,30.0632,304.307
1807.91,30.0632,304.307
1833.34,30.0632,304.307
1858.76,30.0632,304.307
1884.19,30.0632,304.307
1909.62,30.0632,304.307
1935.04,30.0632,304.307
1960.47,30.0632,304.307
1985.89,30.0632,304.307
2011.32,30.0632,304.307
2036.74,30.0632,304.307
2062.17,30.0632,304.307
2087.6,30.0632,304.307
2113.02,30.0632,304.307
2138.45,30.0632,304.307
2163.87,30.0632,304.307
2189.3,30.0632,304.307
2214.72,30.0632,304.307
2240.15,30.0632,304.307
2240.15,30.0632,304.307
2266.77,28.5907,306.148
2293.39,27.1455,308.169
2320.01,25.7322,310.398
2346.62,24.3564,312.863
2373.24,23.0249,315.6
2399.86,21.7458,318.647
2426.48,20.529,322.045
2453.1,19.3862,325.839
2479.72,18.3313,330.07
2506.34,17.3803,334.772
2532.96,16.5511,339.966
2559.57,15.8629,345.642
2586.19,15.3347,351.759
2612.81,14.9834,358.227
2639.43,14.8216,4.91444
2666.05,14.8555,11.6586
2692.67,15.0837,18.2877
2719.29,15.4978,24.6473
2745.9,16.0833,30.6196
2772.52,16.8224,36.1322
2799.14,17.6958,41.1552
2825.76,18.6846,45.6917
2852.38,19.7715,49.7674
2879,20.9414,53.4199
2905.62,22.1809,56.6921
2932.23,23.4791,59.6273
2958.85,24.8267,62.2662
2985.47,26.2161,64.6461
3012.09,27.641,66.7998
3038.71,29.0961,68.7563
3065.33,30.5772,70.5406
3091.95,32.0805,72.1742
3118.57,33.6031,73.6757
3145.18,35.1424,75.0611
3145.18,35.1424,75.0611
3156.65,35.1424,75.0611
3168.11,35.1424,75.0611
