md, inc, azi
0,0,0
101.693,0,0
203.385,0,0
305.078,0,0
406.77,0,0
406.77,0,0
436.521,2.14307,294.861
466.271,4.28615,294.861
496.021,6.42922,294.861
525.771,8.5723,294.861
555.522,10.7154,294.861
585.272,12.8584,294.861
615.022,15.0015,294.861
644.773,17.1446,294.861
674.523,19.2877,294.861
704.273,21.4307,294.861
734.024,23.5738,294.861
763.774,25.7169,294.861
793.524,27.86,294.861
823.275,30.003,294.861
823.275,30.003,294.861
850.882,30.003,294.861
878.49,30.003,294.861
906.097,30.003,294.861
933.705,30.003,294.861
961.313,30.003,294.861
988.92,30.003,294.861
1016.53,30.003,294.861
1044.14,30.003,294.861
1071.74,30.003,294.861
1099.35,30.003,294.861
1126.96,30.003,294.861
1154.57,30.003,294.861
1182.17,30.003,294.861
1209.78,30.003,294.861
1237.39,30.003,294.861
1265,30.003,294.861
1292.6,30.003,294.861
1320.21,30.003,294.861
1347.82,30.003,294.861
1375.43,30.003,294.861
1403.03,30.003,294.861
1430.64,30.003,294.861
1458.25,30.003,294.861
1485.86,30.003,294.861
1513.46,30.003,294.861
1541.07,30.003,294.861
1568.68,30.003,294.861
1596.29,30.003,294.861
1623.9,30.003,294.861
1651.5,30.003,294.861
1679.11,30.003,294.861
1706.72,30.003,294.861
1734.33,30.003,294.861
1761.93,30.003,294.861
1789.54,30.003,294.861
1817.15,30.003,294.861
1844.76,30.003,294.861
1872.36,30.003,294.861
1899.97,30.003,294.861
1927.58,30.003,294.861
1955.19,30.003,294.861
1982.79,30.003,294.861
2010.4,30.003,294.861
2038.01,30.003,294.861
2038.01,30.003,294.861
2067.32,29.0231,294.251
2096.64,28.046,293.603
2125.95,27.0722,292.912
2155.27,26.102,292.174
2184.58,25.1359,291.383
2213.9,24.1742,290.533
2243.21,23.2177,289.617
2272.52,22.2668,288.627
2301.84,21.3225,287.554
2331.15,20.3856,286.387
2360.47,19.4571,285.112
2389.78,18.5384,283.716
2419.1,17.631,282.181
2448.41,16.7367,280.485
2477.73,15.8577,278.606
2507.04,14.9968,276.515
2536.36,14.1572,274.178
2565.67,13.343,271.558
2594.98,12.5591,268.61
2624.3,11.8115,265.286
2653.61,11.1076,261.535
2682.93,10.4561,257.302
2682.93,10.4561,257.302
2710.85,10.4561,257.302
2738.78,10.4561,257.302
2766.7,10.4561,257.302
2794.63,10.4561,257.302
2822.55,10.4561,257.302
2850.47,10.4561,257.302
2878.4,10.4561,257.302
2906.32,10.4561,257.302
2934.25,10.4561,257.302
2962.17,10.4561,257.302
2990.1,10.4561,257.302
3018.02,10.4561,257.302
3045.94,10.4561,257.302
3073.87,10.4561,257.302
3101.79,10.4561,257.302
3129.72,10.4561,257.302
