md, inc, azi
0,0,0
100,0,0
200,0,0
300,0,0
400,0,0
400,0,0
435.683,5.35246,53.0922
471.366,10.7049,53.0922
507.049,16.0574,53.0922
542.732,21.4098,53.0922
578.415,26.7623,53.0922
614.098,32.1148,53.0922
649.781,37.4672,53.0922
685.464,42.8197,53.0922
721.147,48.1722,53.0922
721.147,48.1722,53.0922
769.051,48.1722,53.0922
816.956,48.1722,53.0922
864.86,48.1722,53.0922
912.764,48.1722,53.0922
960.669,48.1722,53.0922
1008.57,48.1722,53.0922
1056.48,48.1722,53.0922
1104.38,48.1722,53.0922
1152.29,48.1722,53.0922
1200.19,48.1722,53.0922
1248.1,48.1722,53.0922
1296,48.1722,53.0922
1343.9,48.1722,53.0922
1391.81,48.1722,53.0922
1439.71,48.1722,53.0922
1487.62,48.1722,53.0922
1535.52,48.1722,53.0922
1583.43,48.1722,53.0922
1631.33,48.1722,53.0922
1679.24,48.1722,53.0922
1727.14,48.1722,53.0922
1775.04,48.1722,53.0922
1822.95,48.1722,53.0922
1870.85,48.1722,53.0922
1918.76,48.1722,53.0922
1966.66,48.1722,53.0922
2014.57,48.1722,53.0922
2062.47,48.1722,53.0922
2110.38,48.1722,53.0922
2158.28,48.1722,53.0922
2206.18,48.1722,53.0922
2254.09,48.1722,53.0922
2301.99,48.1722,53.0922
2349.9,48.1722,53.0922
2397.8,48.1722,53.0922
2445.71,48.1722,53.0922
2493.61,48.1722,53.0922
2541.52,48.1722,53.0922
2589.42,48.1722,53.0922
2637.32,48.1722,53.0922
2685.23,48.1722,53.0922
2733.13,48.1722,53.0922
2733.13,48.1722,53.0922
2783.8,40.9738,49.6056
2834.48,33.916,44.9471
2885.15,27.1114,38.2363
2935.82,20.8129,27.6621
2986.49,15.6465,9.59805
3037.16,13.0378,340.363
3087.83,14.4468,308.495
3138.5,18.9995,287.035
3189.17,25.0351,274.579
3239.85,31.7171,266.903
3290.52,38.7108,261.718
3341.19,45.8724,257.923
3391.86,53.1322,254.956
3442.53,60.4529,252.509
3493.2,67.8123,250.395
3543.87,75.1962,248.493
3594.54,82.5947,246.717
3645.22,90,245
3645.22,90,245
3693.6,90,245
3741.99,90,245
3790.38,90,245
3838.76,90,245
3887.15,90,245
3935.54,90,245
3983.93,90,245
4032.31,90,245
4080.7,90,245
4129.09,90,245
4177.47,90,245
4225.86,90,245
4274.25,90,245
4322.63,90,245
4371.02,90,245
4419.41,90,245
4467.8,90,245
4516.18,90,245
4564.57,90,245
4612.96,90,245
4661.34,90,245
4709.73,90,245
4758.12,90,245
4806.5,90,245
4854.89,90,245
4903.28,90,245
4951.67,90,245
5000.05,90,245
5048.44,90,245
5096.83,90,245
5145.21,90,245
