md, inc, azi
0,0,0
221.806,0,0
443.612,0,0
665.418,0,0
887.224,0,0
887.224,0,0
892.833,0.5076,317.489
898.442,1.0152,317.489
904.052,1.52279,317.489
909.661,2.03039,317.489
915.27,2.53798,317.489
920.879,3.04558,317.489
926.488,3.55317,317.489
932.098,4.06077,317.489
937.707,4.56837,317.489
937.707,4.56837,317.489
943.244,4.56837,317.489
948.781,4.56837,317.489
948.781,4.56837,317.489
969.786,6.70979,318.535
990.791,8.85236,319.076
1011.8,10.9954,319.407
1032.8,13.1387,319.631
1053.81,15.2821,319.794
1074.81,17.4256,319.917
1095.82,19.5692,320.014
1116.82,21.7128,320.092
1137.83,23.8565,320.158
1137.83,23.8565,320.158
1159.81,23.8565,320.158
1181.79,23.8565,320.158
1203.77,23.8565,320.158
1225.75,23.8565,320.158
1247.72,23.8565,320.158
1269.7,23.8565,320.158
1291.68,23.8565,320.158
1313.66,23.8565,320.158
1335.64,23.8565,320.158
1357.62,23.8565,320.158
1379.6,23.8565,320.158
1401.58,23.8565,320.158
1423.56,23.8565,320.158
1445.54,23.8565,320.158
1467.52,23.8565,320.158
1489.49,23.8565,320.158
1511.47,23.8565,320.158
1533.45,23.8565,320.158
1555.43,23.8565,320.158
1577.41,23.8565,320.158
1599.39,23.8565,320.158
1621.37,23.8565,320.158
1643.35,23.8565,320.158
1665.33,23.8565,320.158
1687.31,23.8565,320.158
1709.29,23.8565,320.158
1731.26,23.8565,320.158
1753.24,23.8565,320.158
1775.22,23.8565,320.158
1797.2,23.8565,320.158
1819.18,23.8565,320.158
1841.16,23.8565,320.158
1863.14,23.8565,320.158
1885.12,23.8565,320.158
1907.1,23.8565,320.158
1929.08,23.8565,320.158
1951.06,23.8565,320.158
1973.03,23.8565,320.158
1995.01,23.8565,320.158
2016.99,23.8565,320.158
2038.97,23.8565,320.158
2060.95,23.8565,320.158
2082.93,23.8565,320.158
2104.91,23.8565,320.158
2126.89,23.8565,320.158
2148.87,23.8565,320.158
2170.85,23.8565,320.158
2192.83,23.8565,320.158
2214.8,23.8565,320.158
2236.78,23.8565,320.158
2258.76,23.8565,320.158
2280.74,23.8565,320.158
2302.72,23.8565,320.158
2324.7,23.8565,320.158
2346.68,23.8565,320.158
2368.66,23.8565,320.158
2390.64,23.8565,320.158
2412.62,23.8565,320.158
2434.6,23.8565,320.158
2456.57,23.8565,320.158
2478.55,23.8565,320.158
2500.53,23.8565,320.158
2522.51,23.8565,320.158
2544.49,23.8565,320.158
2566.47,23.8565,320.158
2588.45,23.8565,320.158
2610.43,23.8565,320.158
2632.41,23.8565,320.158
2654.39,23.8565,320.158
2676.37,23.8565,320.158
2698.35,23.8565,320.158
2720.32,23.8565,320.158
2742.3,23.8565,320.158
2764.28,23.8565,320.158
2786.26,23.8565,320.158
2808.24,23.8565,320.158
2830.22,23.8565,320.158
2852.2,23.8565,320.158
2874.18,23.8565,320.158
2896.16,23.8565,320.158
2918.14,23.8565,320.158
2940.12,23.8565,320.158
2962.09,23.8565,320.158
2984.07,23.8565,320.158
3006.05,23.8565,320.158
3028.03,23.8565,320.158
3050.01,23.8565,320.158
3071.99,23.8565,320.158
